file,mu0,gamma0,beta0,eta0,kappa0,kappa1
PG4PC1PC2-20180108233503.pkl,0.669707273241,23.2843879768,4.93884209598,64.2847653975,46.2033554394,68.3110535761
PG4PC1PC2-20180108234027.pkl,0.79218259691,23.0870379353,33.2259204034,37.5227930863,67.341610082,62.5126254401
PG4PC1PC2-20180108234526.pkl,0.943886709013,7.4462131741,66.3650329701,2.51929969876,25.8817632309,93.8475123976
PG4PC1PC2-20180108235054.pkl,2.77917561353,4.67583268142,7.4049768754,76.6592183795,79.7576931441,18.054514153
PG4PC1PC2-20180108235648.pkl,2.40058399719,28.4503955445,58.8467783391,89.6902245318,93.9390250379,40.3266754645
PG4PC1PC2-20180109000208.pkl,2.6384145298,3.30340777025,44.6554322777,13.7330388912,35.3670003539,44.7948710986
PG4PC1PC2-20180109000745.pkl,2.39811403166,4.00088126943,64.7182571382,75.179657809,73.4286322104,61.8828491864
PG4PC1PC2-20180109001338.pkl,3.5331846218,22.6208780303,38.5065294206,37.141189832,33.2963169082,93.1917491249
PG4PC1PC2-20180109001902.pkl,2.70857915512,5.32402360077,5.64888398307,43.6044169183,7.41518645826,73.4175261179
PG4PC1PC2-20180109002517.pkl,3.29596917942,29.1045525541,27.1712311789,3.86381650484,64.5269288581,50.5689759704
PG4PC1PC2-20180109003055.pkl,1.0019455201,13.1294040374,91.2647837974,62.7177993829,53.6402504777,52.2874345418
PG4PC1PC2-20180109003608.pkl,1.10503095499,5.9932902176,9.96913010592,69.321200102,20.9241689945,48.7615610025
PG4PC1PC2-20180109004125.pkl,3.64020031636,11.7468084736,2.56808287775,22.9707415492,5.53591891704,51.8591810474
PG4PC1PC2-20180109005047.pkl,0.159935317401,12.7942808735,48.3766269419,36.7390569146,76.9398920854,55.1920127433
PG4PC1PC2-20180109005720.pkl,3.8245626238,29.2720448542,60.5351732051,2.65954161744,27.2458439004,74.6326794686
PG4PC1PC2-20180109010303.pkl,2.71411274347,15.7453357361,37.3926151307,69.5512583625,85.2950728235,8.10405185381
PG4PC1PC2-20180109010909.pkl,3.75448541305,25.9121587201,36.1791637721,26.412996128,84.6769097346,75.4334632392
PG4PC1PC2-20180109011407.pkl,1.31633237732,26.1360048028,27.8692049932,5.21814653707,88.3154591492,31.0839114153
PG4PC1PC2-20180109012022.pkl,3.6289186758,29.3659636072,23.2603856485,38.4513603286,51.2628759346,8.94645538722
PG4PC1PC2-20180109012557.pkl,2.89505951051,14.9485113122,32.4213705269,77.5908698087,15.3639681748,61.0932892678
PG4PC1PC2-20180109013111.pkl,2.03901367082,14.1210992587,97.6564132995,21.3636239139,22.0368343513,98.5358924701
PG4PC1PC2-20180109013844.pkl,0.340194843227,10.8837862545,28.4902778036,58.4290237198,47.1263478069,94.8460274049
PG4PC1PC2-20180109014332.pkl,0.946518707558,13.1159320117,8.36752968683,46.6413020166,3.26465572629,6.69763042681
PG4PC1PC2-20180109014828.pkl,1.5788022488,29.7165651604,66.6883342386,5.23631056592,16.2034424902,16.9531424431
PG4PC1PC2-20180109015323.pkl,1.86100339077,6.45472326445,70.1188209649,10.3259497623,54.9037435483,36.0263410135
PG4PC1PC2-20180109015841.pkl,3.21935410597,13.3191148058,99.8233008293,3.05338647513,40.9447709674,77.477383134
PG4PC1PC2-20180109020352.pkl,1.3882751534,16.9786194737,73.830178967,45.2296644379,5.30748980821,9.00204629184
PG4PC1PC2-20180109020858.pkl,3.15919119067,23.812894354,71.3925588552,77.1623457036,23.531678762,72.2828193961
PG4PC1PC2-20180109021421.pkl,3.38478230356,6.89544752917,41.7729521561,79.3830995162,63.7551527819,47.3186005323
PG4PC1PC2-20180109022013.pkl,1.13505686613,27.6869726975,92.8729923314,88.465793229,67.4623897546,24.4176046356
PG4PC1PC2-20180109022543.pkl,3.05328312415,4.16804227596,87.5239060973,65.8201151785,2.52388879711,90.0733674445
PG4PC1PC2-20180109023121.pkl,2.80797128693,3.42294025882,26.9655954106,94.5526277451,84.1366063903,7.5595655795
PG4PC1PC2-20180109023655.pkl,0.405777170748,0.1171581053,75.6387875056,93.6271855913,29.3962718965,85.3089553262
PG4PC1PC2-20180109024211.pkl,2.24352701217,15.6079596681,34.6470182348,52.6054673199,17.6924411999,2.1489618914
PG4PC1PC2-20180109024750.pkl,2.52957291489,18.937867769,64.3056582939,94.5255228128,7.40115835293,55.0646777739
PG4PC1PC2-20180109025301.pkl,0.868337836816,13.1813844652,7.14291747203,57.5551435363,77.3282661762,92.031519822
PG4PC1PC2-20180109025751.pkl,1.15186300649,0.913991350321,19.1405890954,23.9444559044,1.20864565023,29.1209947885
PG4PC1PC2-20180109030238.pkl,1.30683713532,9.33520178157,59.4170659023,60.1835138322,52.1082822096,79.8081226181
PG4PC1PC2-20180109030736.pkl,1.05652081096,9.37784136643,87.0136436603,34.197065346,82.5337601595,11.5990567977
PG4PC1PC2-20180109031501.pkl,3.09790510285,3.4057058609,46.1375521481,46.9065890033,71.6807743845,37.2687901298
PG4PC1PC2-20180109032051.pkl,3.44041144125,20.775169152,51.6431265863,2.73428884871,50.6971590321,48.4908054379
PG4PC1PC2-20180109032609.pkl,2.34488869544,3.02623781912,48.0672401354,39.4332282957,35.5262281761,87.7083550593
PG4PC1PC2-20180109033147.pkl,0.82898783781,26.0103773317,59.4147157047,79.9255380755,89.1141817154,75.8437704671
PG4PC1PC2-20180109033736.pkl,3.93891629366,13.5033429246,43.8089565813,97.3096598237,3.57443841691,46.486987532
PG4PC1PC2-20180109034305.pkl,3.17445864501,15.5234007436,77.0962731327,86.0502910184,18.2453453877,45.7900370003
PG4PC1PC2-20180109034845.pkl,3.37586377837,22.4808427153,72.2582117158,49.7190011283,25.4896430855,31.6429345133
PG4PC1PC2-20180109035348.pkl,1.15654370887,8.0223687204,48.1556376955,10.2238791099,20.3293223836,39.3768775843
PG4PC1PC2-20180109035954.pkl,2.41278982771,18.9371200885,57.0421095039,66.731412154,63.5357745562,34.8751442562
PG4PC1PC2-20180109040447.pkl,2.17099271218,7.08205874094,92.8248336478,3.88777978392,5.13026483453,6.78880079483
PG4PC1PC2-20180109040931.pkl,0.666041028778,12.6781278212,83.252320102,28.4431395972,31.3625792578,92.5803745281
PG4PC1PC2-20180109041740.pkl,1.64419268191,14.1432646278,7.57077726411,69.1300566781,96.7833380466,79.4699601883
PG4PC1PC2-20180109042248.pkl,1.62984001494,8.85331594641,76.0598460312,14.8085634506,2.49691336417,73.5685871338
PG4PC1PC2-20180109042839.pkl,3.40052851999,21.4197995946,13.1598478901,7.45152018557,14.5313130909,65.3816176392
PG4PC1PC2-20180109043350.pkl,1.06259641127,23.3667617117,74.0519881678,22.7374142789,91.7164525622,43.2791812006
PG4PC1PC2-20180109043822.pkl,0.308181505399,25.330235063,64.3017252841,17.2565447113,45.8792492251,50.7605856669
PG4PC1PC2-20180109044337.pkl,0.642076096223,9.490772569,22.41129131,54.4762092032,92.7647222757,23.2146199438
PG4PC1PC2-20180109045205.pkl,0.324953399664,5.15044957742,38.6126835697,62.3223837159,96.0731347581,87.4089310451
PG4PC1PC2-20180109045714.pkl,0.745954767635,22.6042768383,72.793425996,30.3761231111,26.0975374794,78.2618491113
PG4PC1PC2-20180109050323.pkl,3.32806636825,27.0276510422,44.3177689008,42.3572312572,72.5589508868,19.5750351729
PG4PC1PC2-20180109050859.pkl,3.77972515292,18.3518884579,7.5708855256,1.49366399134,3.01842700864,8.68715086109
PG4PC1PC2-20180109051427.pkl,0.930328845394,19.1740566578,10.430560395,34.392824661,25.4763816882,68.8414844568
PG4PC1PC2-20180109051949.pkl,2.67053697897,28.7757667854,1.79139054955,84.9993993965,93.2987639372,74.6013721087
PG4PC1PC2-20180109052509.pkl,2.29760614879,6.55187428954,26.2196069064,19.4489178818,65.6462589379,1.58508226735
PG4PC1PC2-20180109053108.pkl,3.36396693851,24.289163306,26.7226028,68.6115573416,8.15978827808,66.0987748967
PG4PC1PC2-20180109053618.pkl,0.360471981145,19.4439414053,85.3798464275,62.2414950544,73.114418789,39.1013414563
PG4PC1PC2-20180109054158.pkl,0.624086446755,16.1027458869,68.0358260375,85.1383884089,66.1917004371,38.0581943205
PG4PC1PC2-20180109055229.pkl,0.541676652232,2.30425360099,44.0884860318,60.9684142465,45.3722700009,51.2372082825
PG4PC1PC2-20180109055732.pkl,0.945087967334,5.90532124524,53.5763676901,30.1225604881,66.5860152024,86.0502792563
PG4PC1PC2-20180109060344.pkl,3.8476695734,12.4532073235,71.2386087058,61.4995037556,78.2602811319,70.8532887178
PG4PC1PC2-20180109060914.pkl,2.52401905263,15.4870852258,70.3002785168,25.1334922053,42.829424533,28.4719062794
PG4PC1PC2-20180109061452.pkl,2.7791022656,18.4907561004,53.2199639181,67.9177159522,15.4540354735,50.0731810404
PG4PC1PC2-20180109062112.pkl,3.61229157853,29.8074561437,36.2057266191,77.7890342796,95.7920717728,48.8427927397
PG4PC1PC2-20180109062700.pkl,2.33403198003,8.87421156438,21.2950083487,94.5307352287,28.8190144263,15.3363246429
PG4PC1PC2-20180109063617.pkl,3.42736929821,27.092368079,93.4590314896,66.2978458039,25.4062363079,26.7562593301
PG4PC1PC2-20180109064131.pkl,1.65437889473,12.9113452643,54.9671775431,82.6547838396,29.031093386,8.69887169035
PG4PC1PC2-20180109064714.pkl,3.226798591,14.4628652562,58.6414914643,62.3517693994,19.9952492027,9.08752985192
PG4PC1PC2-20180109065129.pkl,2.72827502428,2.74358239919,46.1744880922,78.7597849711,89.8358418869,95.8746001258
PG4PC1PC2-20180109065542.pkl,2.01160960498,19.0728708075,86.6870885723,20.8031806249,94.2697413719,76.2325609737
PG4PC1PC2-20180109070026.pkl,3.4909304833,25.5020214785,4.80426114869,25.7305072009,63.4138019538,17.3073793731
PG4PC1PC2-20180109070443.pkl,1.4976124243,28.0007499139,22.8211342125,25.2211568771,33.134835814,3.72998027466
PG4PC1PC2-20180109071015.pkl,0.796735158327,20.5083703907,96.1070620234,73.3511911692,44.3235967912,45.3303052199
PG4PC1PC2-20180109071931.pkl,0.349036988866,6.3582866255,91.8046168881,98.9441286385,55.0840563354,75.7439366123
PG4PC1PC2-20180109072816.pkl,0.094335596771,3.78969812749,64.4192183425,16.1237301116,13.7485348665,32.5990931055
PG4PC1PC2-20180109073230.pkl,3.50809265638,4.17109097336,40.3631654834,37.7040630097,20.7571693083,37.5552547236
PG4PC1PC2-20180109073636.pkl,0.612900490846,9.88348820449,9.26326620851,77.9060135715,75.0704139202,31.7603375684
PG4PC1PC2-20180109074116.pkl,3.52366786821,25.2807048569,39.889848112,76.6830639028,42.0355587981,36.7848661644
PG4PC1PC2-20180109074511.pkl,0.481150240298,22.9746366069,85.0888042352,23.3134309165,31.8598782132,14.0479287786
PG4PC1PC2-20180109074920.pkl,1.01899066053,12.2736632355,8.505614303,43.0768130824,51.9477673146,22.204742361
PG4PC1PC2-20180109075444.pkl,2.00084516977,14.2842132104,90.7108638637,66.5941492958,67.1481982357,17.1320742324
PG4PC1PC2-20180109080250.pkl,0.415474408201,5.23354643328,35.7722144081,22.3398938515,15.1288376721,4.0264936001
PG4PC1PC2-20180109080856.pkl,2.25321785909,28.4954665433,58.5485196487,35.7991082166,44.4531763244,34.4573403135
PG4PC1PC2-20180109081423.pkl,1.31626854663,2.45298960406,78.6309282448,43.5787388799,11.8512601215,37.7147122049
PG4PC1PC2-20180109081842.pkl,2.55529148514,0.461920609747,97.8425467508,41.3044803549,49.4857844496,71.5618553201
PG4PC1PC2-20180109082354.pkl,0.553682547657,26.3543624793,63.7565636393,78.1833750192,99.164122772,17.3817453863
PG4PC1PC2-20180109082946.pkl,3.8705607706,22.29321063,1.2376244316,37.0209522133,88.6794924497,65.7599974085
PG4PC1PC2-20180109083522.pkl,1.68901476907,17.1957548703,5.31819850635,59.7622437725,5.13267592117,68.7693744187
PG4PC1PC2-20180109084114.pkl,3.34610089428,22.1177392649,98.5306494485,18.1647321847,65.9266431763,70.0720918921
PG4PC1PC2-20180109084721.pkl,2.98409762698,25.6886427662,93.1442314671,33.058161713,81.4384490237,67.7336770431
PG4PC1PC2-20180109085324.pkl,3.53780235775,19.9487900036,74.4190160262,27.8655394384,81.8410312896,15.0274043202
PG4PC1PC2-20180109090016.pkl,3.88792714098,28.9829224634,34.7576606259,16.1267191458,20.5029291119,50.4061724731
PG4PC1PC2-20180109090620.pkl,0.783147395118,23.9960740293,42.7393592333,77.1578243338,70.9167949201,33.631331632
PG4PC1PC2-20180109091150.pkl,1.5314704379,26.510239889,70.8467999791,71.2822732039,96.4443397638,75.8407745517
PG4PC1PC2-20180109091716.pkl,3.42854177031,22.6699044021,13.9675539593,87.392749686,91.7583972977,52.3919435466
PG4PC1PC2-20180109092301.pkl,2.47016045397,6.00914562523,58.5273592983,95.4753617416,43.3334220814,51.8998911072
PG4PC1PC2-20180109092835.pkl,2.72554567341,11.2522965979,57.9213251966,82.8561396431,54.7254753984,33.182869971
