file,mu0,gamma0,beta0,eta0,kappa0,scale0
PG4PC2a-20171226110335.pkl,2.47459333885,20.8010328271,12.490718067,95.7781747271,98.5929675864,0.180205078684
PG4PC2a-20171226110632.pkl,0.401978059866,25.5942083027,49.7316048042,76.1832713883,88.6132049876,0.45659209779
PG4PC2a-20171226110930.pkl,3.26763618607,18.8887398001,31.0585822424,4.24020684994,56.1741931187,0.95227730768
PG4PC2a-20171226111234.pkl,1.41054865878,4.40220489418,68.3522107746,79.2244253831,48.350876924,0.903475438136
PG4PC2a-20171226111604.pkl,3.69420569772,28.5292721224,72.9040422445,17.8510913851,71.9560653124,0.783706247407
PG4PC2a-20171226111857.pkl,1.66417634112,29.2171464333,4.51500468376,4.31877166063,84.7159351005,0.437682038304
PG4PC2a-20171226112148.pkl,3.49078102819,10.8105167826,51.9586395644,50.4844143293,41.8827020458,0.0280445156509
PG4PC2a-20171226112453.pkl,3.55788125854,14.6110051381,6.99940966726,94.4687930031,83.0876141567,0.734538313495
PG4PC2a-20171226112815.pkl,2.54731567364,25.5648412942,38.5053123891,76.3001754369,72.7430053204,0.763624464942
PG4PC2a-20171226113318.pkl,1.25109198352,1.41654013884,3.11023194073,20.9716766512,74.2790796224,0.342912415786
PG4PC2a-20171226113618.pkl,1.78923313336,19.2852666597,84.0923519965,88.2362360199,59.2654580081,0.973414629879
PG4PC2a-20171226113921.pkl,1.56158801588,10.4620791984,28.1222774061,66.0339741444,64.1154938591,0.910900156938
PG4PC2a-20171226114343.pkl,0.720014860993,2.44414931991,92.4611038348,60.6569298518,3.11247940942,0.162962750334
PG4PC2a-20171226114736.pkl,0.218102768242,18.9776163178,55.2210916967,87.9197906195,32.8717533396,0.632589300874
PG4PC2a-20171226115033.pkl,2.25795598893,3.57693682825,63.6129057618,16.4943803262,78.072040607,0.0587852820303
PG4PC2a-20171226115445.pkl,0.15042735651,23.4662827303,35.6790209047,81.8929265115,93.698219135,0.0976753481428
PG4PC2a-20171226115741.pkl,2.79834872226,3.97072729199,62.2351367337,57.1598841949,23.5437608419,0.15653099478
PG4PC2a-20171226120018.pkl,0.788720420662,4.82305295136,35.7767811502,14.8768579564,47.0260257224,0.357182005908
PG4PC2a-20171226120323.pkl,2.32117677274,3.78059928967,22.9661919095,85.7987001969,61.9635711508,0.518385955302
PG4PC2a-20171226120601.pkl,0.42123561944,17.5744760279,73.4650443715,47.1356209066,75.2337804784,0.138944689785
PG4PC2a-20171226120853.pkl,0.524473944127,10.2097270183,95.697430083,43.573027035,29.6095667267,0.170347782561
