file,mu0,gamma0,alpha0,beta0,eta0,kappa0,scale0
PG1PC2a-20171226025004.pkl,0.944414568291,1.75675199058,53.5191314818,26.0137136045,7.01065310295,38.4892955625,0.465570960001
PG1PC2a-20171226025229.pkl,2.95394557767,8.94586639099,58.4489316439,37.9812033224,6.69245239606,42.2565527617,0.703416092414
PG1PC2a-20171226025512.pkl,2.58315371476,14.5268639193,12.5047433893,46.6963632584,1.49198380646,13.2467756985,0.644330549456
PG1PC2a-20171226025733.pkl,1.99870670386,23.3561575991,78.2881521462,27.6794529222,8.69555203317,6.18289573408,0.665892541847
PG1PC2a-20171226025953.pkl,3.91077483497,2.41738747396,69.424879179,9.12381077296,9.45236503396,34.0413762906,0.996614641478
PG1PC2a-20171226030213.pkl,1.25053647733,13.3576663584,82.0745439056,89.2911557539,7.4608686235,23.2402653651,0.335642295192
PG1PC2a-20171226030435.pkl,1.89331381625,28.9098428217,64.7863478724,30.5115272295,7.50542895874,40.6989194437,0.82032418474
PG1PC2a-20171226030732.pkl,1.80996082859,4.61915437026,84.7192281305,6.20703360876,7.96954101833,12.166579911,0.211043272828
PG1PC2a-20171226031007.pkl,3.25843554041,16.3252112822,87.1949152811,79.4114835594,5.90161247601,33.3402154321,0.951458018304
PG1PC2a-20171226031235.pkl,2.54954332049,2.78869464112,4.80835336868,99.9579428985,5.89909468871,87.913831084,0.719796338401
PG1PC2a-20171226031500.pkl,2.85466391782,24.8350423485,73.1254898931,56.7942063443,7.444419565,43.6643006354,0.844490139796
PG1PC2a-20171226031727.pkl,1.19032247754,19.1089058275,86.2369446777,17.1182757386,4.40114173146,89.7029813245,0.611114573893
PG1PC2a-20171226031945.pkl,2.23347863137,9.30993507678,76.0897236042,15.3002377714,0.863438226338,41.9008665023,0.551152060454
PG1PC2a-20171226032208.pkl,0.0379911986636,23.5085601582,82.0614657242,18.9494912088,2.0354140427,74.7668157152,0.820118711312
PG1PC2a-20171226032455.pkl,3.1336387708,15.5115053154,96.8815080881,82.2275276232,5.64666561597,98.5119195253,0.071491813543
PG1PC2a-20171226032715.pkl,0.626126008102,21.8488774835,97.0983092593,38.0188154496,8.39484443143,79.8591386356,0.597168073071
PG1PC2a-20171226032952.pkl,1.95502226786,10.8747601631,6.80535221345,89.2986148571,3.67790738156,19.0871504511,0.487151561004
PG1PC2a-20171226033347.pkl,2.22846898957,14.9088947955,65.0252529547,2.46831223608,9.214438837,17.8175874579,0.209964244728
PG1PC2a-20171226033629.pkl,1.02890213885,21.3835668443,6.01827368115,80.4575699589,6.56271057795,79.1024271376,0.518478378446
PG1PC2a-20171226033900.pkl,0.0310950184381,22.1937910045,57.8262335298,65.0081889671,9.32092190141,82.3844124657,0.367944538958
PG1PC2a-20171226034132.pkl,0.169049798423,10.7622778886,50.9679889461,76.1316185636,1.1518661902,59.1793387628,0.633068329925
PG1PC2a-20171226034420.pkl,3.38100826994,23.6992557861,14.818274515,7.64014827042,8.18225240433,4.75094570677,0.297260197516
PG1PC2a-20171226034651.pkl,3.8084800275,12.8967455649,26.6323240967,58.4641710909,1.95060140889,38.9714896422,0.351431805094
PG1PC2a-20171226035020.pkl,1.8001211874,20.7218468944,48.02191038,77.0090582334,0.0864806257667,47.8217169357,0.0277359601469
PG1PC2a-20171226035257.pkl,3.13413878931,21.3738137507,64.412274443,77.1255493616,8.24565759618,64.1710788296,0.936234407822
PG1PC2a-20171226035528.pkl,0.747378705257,11.0679892955,16.7802965072,78.9676413476,7.81711979094,70.8729167324,0.72402785344
PG1PC2a-20171226035751.pkl,1.32058808948,10.4384900704,41.5259647899,24.5084575156,7.50370842757,84.9873659898,0.982104645286
PG1PC2a-20171226040319.pkl,1.33256435098,3.900436011,56.7297890044,20.3218460909,9.28832893609,61.3094501333,0.0230593968686
PG1PC2a-20171226040606.pkl,3.14533100429,17.4081594548,29.0127541344,66.5219487846,1.64044158915,94.1618693993,0.458466300399
PG1PC2a-20171226040822.pkl,0.660559926476,13.7945559493,64.609253479,29.426005493,9.00874776473,92.7861510204,0.42605771056
PG1PC2a-20171226041054.pkl,0.800778478211,26.9495098527,36.423302956,64.2158674562,9.02556968641,35.9278943035,0.931159631049
PG1PC2a-20171226041340.pkl,0.490271929978,27.3201960993,17.7769794542,85.0628433069,8.44555137381,84.4773108059,0.867587340298
PG1PC2a-20171226041557.pkl,2.98361277889,9.24805860067,67.584532777,13.0464326682,5.42421420367,56.5556049372,0.787857116047
PG1PC2a-20171226041844.pkl,3.44609393161,17.7350199874,60.8816516294,70.7701834021,4.32922480031,89.1877267803,0.69113379647
PG1PC2a-20171226042145.pkl,1.98055914181,3.32948759026,4.34070488529,29.1592978953,0.304948815323,53.7066969277,0.381469650271
PG1PC2a-20171226042430.pkl,3.86093166875,26.0387711903,80.9317807037,31.543758565,0.327596238807,87.100138629,0.457850001335
PG1PC2a-20171226042706.pkl,3.39291189352,2.80846452451,73.192329576,70.5011404265,2.94226968674,77.676736192,0.585757340258
PG1PC2a-20171226042948.pkl,2.34954455042,22.9976489141,78.8466526055,37.1729554665,3.10291264694,65.9230898819,0.341814640174
PG1PC2a-20171226043241.pkl,2.06860189872,17.4562336672,61.4497958114,66.8204752085,1.66968428962,75.1946671996,0.183043837289
PG1PC2a-20171226043518.pkl,3.70521895045,1.22437407337,29.7721622843,8.21751196694,8.08609409353,6.53124660671,0.0896121216041
PG1PC2a-20171226043756.pkl,3.43858124947,22.2307061575,58.5982042002,22.4023570833,0.24761425829,5.56573921521,0.909712570552
PG1PC2a-20171226044050.pkl,2.52850614496,23.1829350621,12.5957409395,34.0061698961,0.936642523986,8.94534241452,0.731503760041
PG1PC2a-20171226044352.pkl,2.37050390924,17.0988164075,13.926547384,23.0227763841,0.819402717725,11.5792724468,0.237169065774
PG1PC2a-20171226044638.pkl,3.25270244179,2.42221098142,38.4116361732,50.3278097038,2.44209698997,95.7677417926,0.178353638587
PG1PC2a-20171226044922.pkl,1.60581818323,18.8273505603,20.4217778011,24.4789890959,7.11253611177,39.9479011132,0.899943698553
PG1PC2a-20171226045205.pkl,2.59504995495,28.4316713275,33.4150767789,33.7836046581,2.09816618915,34.6378454693,0.965669349113
PG1PC2a-20171226045441.pkl,2.43716350703,5.02124274757,59.835552104,71.4045507392,3.41980173055,87.0734306746,0.790592190963
PG1PC2a-20171226045708.pkl,0.26081107839,9.14752950622,32.3991782882,40.1424462891,4.78835150676,72.6384416812,0.765520480389
PG1PC2a-20171226045942.pkl,0.559265150322,22.0725563696,47.8785834185,63.427361807,9.10206399116,58.7401045742,0.0458142537659
PG1PC2a-20171226050240.pkl,1.27807012607,12.7770388697,22.6295342639,85.2824716917,5.23972212965,78.1903194503,0.0907525855749
PG1PC2a-20171226050518.pkl,2.8880153117,24.4393449683,20.8024409473,12.247453149,1.37308788881,76.9334073009,0.239713096242
PG1PC2a-20171226050753.pkl,3.83302540464,20.6351908307,16.4886316797,34.0284687818,2.71420877263,94.3500764732,0.494027879014
PG1PC2a-20171226051033.pkl,0.736117050106,8.482569145,83.3747792447,71.5997989504,0.320393851357,87.9026805881,0.661941856188
PG1PC2a-20171226051306.pkl,2.67666446932,5.02768748903,21.8607102946,12.324688363,8.54929153024,34.4078703371,0.0992495787652
PG1PC2a-20171226051539.pkl,1.08648414024,26.2717246601,14.8771007592,17.0925890916,6.76568188579,62.166615222,0.155257761066
PG1PC2a-20171226051823.pkl,3.90516232858,16.1369644039,4.8817467143,21.2763277604,7.99628600293,46.6091802217,0.839547813602
PG1PC2a-20171226052111.pkl,3.77250274941,20.9259287083,47.5411517459,67.1682975261,3.50750425556,15.1606320902,0.173043813872
PG1PC2a-20171226052400.pkl,3.84847110279,26.5353104787,24.0791418979,33.7107523221,3.77421277432,21.3338115612,0.987712954786
PG1PC2a-20171226052653.pkl,2.61292131209,22.7434806071,97.4423621167,63.2476477447,5.64918711157,66.9368695755,0.112022176902
PG1PC2a-20171226052939.pkl,0.828206554377,24.8564600136,5.42214460049,96.844490998,5.92187208295,2.6199433551,0.821383207234
PG1PC2a-20171226053217.pkl,3.5451183523,11.8114716157,8.99345676434,66.7060643416,2.86419510913,67.2602013219,0.230161385531
PG1PC2a-20171226053447.pkl,0.79962042831,14.4673711486,71.7576388444,68.3831317055,3.9481352933,25.7950554863,0.0832103217518
PG1PC2a-20171226053711.pkl,1.22883992462,15.4984171286,37.550870393,28.0326652694,4.67325264561,81.9723089527,0.405860738643
PG1PC2a-20171226053952.pkl,3.82271211827,25.0255472273,10.5400043587,40.81286012,8.46972316337,73.6635030351,0.910781066722
PG1PC2a-20171226054221.pkl,0.378493819808,28.8712561348,89.9733247994,23.4039733805,5.62058822527,37.4407354377,0.427029755904
PG1PC2a-20171226054451.pkl,0.0484169106859,13.872154166,27.932659081,8.32480655349,7.08273052434,85.3306499232,0.880915724744
PG1PC2a-20171226054751.pkl,2.18313984265,12.9400144669,4.64903881904,91.7987242662,5.92767510247,15.574398605,0.337874309055
PG1PC2a-20171226055038.pkl,2.70129455273,29.2774678508,92.8976674647,82.753345065,3.95443632229,27.9237950526,0.489546440694
PG1PC2a-20171226055311.pkl,1.21514220597,23.5835210612,87.7734966001,37.6267156561,8.54996798137,48.5689433682,0.625303649204
PG1PC2a-20171226055559.pkl,0.430507080986,16.8210333774,94.4726555255,55.6291569095,0.774359466842,90.2051681632,0.759375631107
PG1PC2a-20171226055836.pkl,0.783673847904,16.3632702034,63.7331034037,77.1241192787,8.02152269323,41.4635452692,0.657167181495
PG1PC2a-20171226060114.pkl,0.120677317571,21.1725297045,57.2307717248,94.7019548004,2.70968506418,46.7694989678,0.147294413081
PG1PC2a-20171226060350.pkl,1.68426776171,14.7695768245,89.4518737377,67.3826835343,1.32775665142,87.7170943888,0.695659611647
PG1PC2a-20171226060631.pkl,1.78056951858,18.4442425161,8.46740395548,86.3604617584,2.40398559952,33.2165802113,0.903582919184
PG1PC2a-20171226060849.pkl,2.15057910131,8.72506417426,97.1669536119,32.4884303886,9.76024151139,15.2092086034,0.244754639266
PG1PC2a-20171226061120.pkl,2.02637894529,8.52758755061,3.68928269357,81.9193713689,9.38083598253,60.5107109949,0.872105309483
PG1PC2a-20171226061407.pkl,2.14900093135,14.0661946248,58.0390524348,89.607599337,1.82760109993,29.7785294334,0.0478047121083
PG1PC2a-20171226061644.pkl,2.92387256561,5.81872410345,48.3602232931,46.2512877151,0.872942993073,53.9177648761,0.0611718779574
PG1PC2a-20171226061900.pkl,2.47559453394,6.67618215276,61.357399866,6.72576207755,6.80015935908,88.7209017186,0.624840193791
PG1PC2a-20171226062151.pkl,1.35302322655,20.3378667436,32.5546244026,86.1279611274,9.60619652816,99.755709089,0.868550267966
PG1PC2a-20171226062451.pkl,1.18852372352,17.2058430274,1.3321424551,28.4753118488,8.15213903024,79.0364413673,0.944495032882
PG1PC2a-20171226063142.pkl,3.99437679396,9.01062648871,78.6847061132,7.09735921405,3.94927734468,65.6217171637,0.103874624888
PG1PC2a-20171226063419.pkl,1.34271424289,21.9504290615,86.6862639634,39.5184705219,5.51114584009,52.5280235565,0.479995854753
PG1PC2a-20171226063711.pkl,1.42659090748,28.9984947716,23.3130533475,48.8837000089,1.591217192,63.0451060051,0.895013962297
PG1PC2a-20171226063933.pkl,1.75238919405,7.98949642762,92.8565832963,89.9559440965,6.8187728891,11.3899333349,0.950666788871
PG1PC2a-20171226064156.pkl,2.08799322428,11.6725358818,86.8234516191,76.5416710742,5.3473666111,1.50756990856,0.326546651451
PG1PC2a-20171226064425.pkl,2.19606067852,27.1671191679,75.5297779904,59.1417535497,5.33356712744,75.0173676596,0.944048875078
PG1PC2a-20171226064646.pkl,0.551499568442,29.8580735303,82.7965097246,38.9610213257,6.32505717876,46.042456606,0.0768840380778
PG1PC2a-20171226064927.pkl,2.54951645094,19.5246511397,45.5970311412,92.9693650787,2.17497516374,10.9342609672,0.0605102682935
PG1PC2a-20171226065658.pkl,1.92480260342,3.55640236089,39.2770619608,1.41842964849,0.66754727356,75.0170339986,0.665992623777
PG1PC2a-20171226065930.pkl,0.871885623167,8.64342325894,45.854658551,80.7420587135,9.83921838328,34.3339758548,0.736948711477
PG1PC2a-20171226070323.pkl,1.93144731293,9.87216456078,39.2231030296,1.28849644537,6.19089496612,25.6048261852,0.869834339313
PG1PC2a-20171226070551.pkl,2.27538985175,13.1539012081,75.4817574558,71.3824045281,2.0273412532,68.7995372013,0.900440215847
PG1PC2a-20171226070815.pkl,0.209634558885,9.24673596248,73.9958369025,24.0335467486,1.01511794198,24.1182608698,0.944459218481
PG1PC2a-20171226071102.pkl,1.82090265221,16.9325529562,72.6044597828,92.6856368577,2.75307982225,54.4249396955,0.760718298965
PG1PC2a-20171226071343.pkl,2.40270016235,25.6520777996,54.4700027947,79.6026214145,4.74964591603,67.5489223034,0.222086743765
PG1PC2a-20171226071605.pkl,0.496063028444,25.0356696253,60.3838811171,5.62453660643,1.25339818623,34.3239490673,0.689228319505
PG1PC2a-20171226071839.pkl,3.05811783041,22.4291323736,26.4775223861,72.8259250264,3.64135201562,78.7165358209,0.0361141604152
PG1PC2a-20171226072111.pkl,2.91516772462,15.1350140781,36.3009297194,60.9072482395,4.79753167883,18.4855291248,0.681751695043
PG1PC2a-20171226072340.pkl,3.82987504645,4.51551802977,15.7115540697,61.7399229739,2.28380254647,6.18269938829,0.953461773603
PG1PC2a-20171226072614.pkl,1.78084752571,18.3689479414,35.6391051459,34.6480553478,8.38063428467,83.3958962925,0.0822981779419
PG1PC2a-20171226072847.pkl,0.549414799884,9.84050613551,19.5127765017,87.0717376232,9.00892657053,95.2028270272,0.836011747898
PG1PC2a-20171226073126.pkl,3.75543281518,12.7087922129,64.5241036893,20.2392461823,1.83090203189,83.9278692548,0.317224118503
PG1PC2a-20171226073421.pkl,1.03334069631,15.7355918458,1.07131044888,33.2723481349,5.89487111832,35.4894905708,0.218770632351
PG1PC2a-20171226073711.pkl,0.368784631933,20.9688590731,7.20736891476,59.0994056108,0.372749672043,54.0307033808,0.74792951694
PG1PC2a-20171226073927.pkl,0.725265815947,4.00550537211,48.1762893365,13.3235953999,5.31263556146,1.65110122225,0.679589182051
PG1PC2a-20171226074154.pkl,0.375608462689,15.5597480654,25.5087608997,46.0306606052,2.37424845862,51.7475643128,0.988149558187
PG1PC2a-20171226074431.pkl,2.23831186004,1.03999692933,15.4825237016,41.8957778346,6.84203702904,98.9337981392,0.955246786959
PG1PC2a-20171226074650.pkl,2.53228753972,3.76020217569,54.0037184241,31.509362145,5.48257484785,34.936911802,0.664857790498
PG1PC2a-20171226074919.pkl,1.77202296119,23.7293624846,23.3784888939,15.9279573308,2.24617027785,90.4924346212,0.655155880393
PG1PC2a-20171226075151.pkl,3.00160093145,20.5892049714,94.6350479524,30.4608241764,9.30954348325,48.3157062657,0.0132278640693
PG1PC2a-20171226075417.pkl,1.2094062708,8.47250027477,58.0895391305,29.3061774409,1.36525970111,55.8276424317,0.889294541623
PG1PC2a-20171226075659.pkl,2.61062158696,22.0042425734,55.2803004181,84.2759439551,4.27210554643,1.3450642766,0.230598080402
PG1PC2a-20171226080153.pkl,3.23756747959,24.1065232302,35.8943456379,23.1541303362,4.77321680962,3.22063452947,0.499064110627
PG1PC2a-20171226080440.pkl,3.07281080432,23.0630481761,85.8352788942,67.3074022603,0.702430221677,73.5052313106,0.972880915632
PG1PC2a-20171226080718.pkl,3.50028105093,25.07650226,60.6136740724,76.0019486731,2.71127757033,51.9126107149,0.877423465784
