file,mu0,gamma0,alpha0,beta0,eta0,kappa0
PCG1-20171211205036.pkl,2.12896988889,4.09867382424,10.9436844224,20.1223693975,29.9337695713,23.8554469474
PCG1-20171211205253.pkl,3.81941406497,4.34009456848,2.11674119328,26.7143355863,8.07308157366,16.2826252375
PCG1-20171211205515.pkl,0.677961902855,4.02497222883,4.77034429721,21.1220920425,11.0954342808,76.8237772664
PCG1-20171211205744.pkl,3.11926522996,4.25565374547,21.9430492801,68.2173159791,5.97314096028,9.60115912288
PCG1-20171211210002.pkl,2.25543511348,3.51928603772,47.7261986384,83.4167699704,13.5464774516,89.3583256431
PCG1-20171211210222.pkl,0.0390708213615,2.07919169198,96.7980696386,34.4590426936,24.9797640515,65.9789311696
PCG1-20171211210435.pkl,2.2226212007,4.90500576236,84.9316682714,28.0959556599,0.167327650236,49.5692342819
PCG1-20171211210655.pkl,2.96457988082,1.0796593506,15.108691572,9.73665343447,20.0932924931,53.3212955143
PCG1-20171211210920.pkl,0.0292262688205,0.294706632479,72.1421979662,7.87920278582,23.3800006596,83.1393908171
PCG1-20171211211131.pkl,0.667861724192,4.70114293538,85.2073662928,23.3609004976,26.8616428645,50.7304244944
PCG1-20171211211340.pkl,1.00958435307,2.26622525822,34.3709800871,3.70596331736,18.3995702896,76.3572862377
PCG1-20171211211606.pkl,2.5328893632,0.517109032578,70.2152319558,74.7683089034,11.4187482422,4.82710441175
PCG1-20171211211813.pkl,1.9098464229,4.90835990948,44.3541267702,9.69111498191,24.0691032796,25.596023762
PCG1-20171211212041.pkl,0.47162454769,1.03481100682,26.1889474067,87.3302863316,9.98382695085,96.4906831135
PCG1-20171211212301.pkl,1.33670087705,1.64969791046,95.9056231285,81.1068729391,10.1107286177,39.5372489862
PCG1-20171211212647.pkl,0.357311840054,3.97350660632,96.7349770994,2.48444712375,18.3258673496,79.5141614362
PCG1-20171211212911.pkl,0.252030877497,3.0848923591,24.0967246684,55.2090604437,6.59700029178,53.3081161362
PCG1-20171211213134.pkl,0.345679251647,3.93123718948,82.9020335653,72.1801313758,22.7653686553,94.0865429334
PCG1-20171211213358.pkl,3.08337987957,1.26545727006,50.5522978269,69.6827062892,15.552381097,99.7564473497
PCG1-20171211214054.pkl,0.0132216186563,2.61317368507,54.2183739471,1.96711424805,11.4389702737,96.5021787305
PCG1-20171211214319.pkl,0.953632571254,0.475848376819,67.5552156845,32.039936278,13.8024988845,16.4639269045
PCG1-20171211214554.pkl,2.44377659885,4.13934920731,4.17369477822,53.6655195587,1.94691452278,47.47583019
PCG1-20171211214809.pkl,3.91576509516,2.13141908889,86.6872637475,4.90738780504,21.7285720818,57.4111973475
PCG1-20171211215041.pkl,0.83617002096,2.14556612849,15.6664890799,62.3296906422,23.9821488358,99.3870588305
PCG1-20171211215307.pkl,2.94854047318,1.62958240766,5.46387348369,38.2536287283,18.8255170692,63.8860518561
PCG1-20171211215516.pkl,3.31431110857,4.07238238444,87.4961280682,13.8742318075,8.25678296928,92.0810130546
PCG1-20171211215742.pkl,2.31673995955,2.68498604534,67.4378999381,32.5137384198,15.8450357772,72.5422504844
PCG1-20171211215949.pkl,3.65238481589,4.75932551865,55.9365040088,7.44063442397,11.8049424684,39.5605143091
PCG1-20171211220224.pkl,2.76841335884,0.0349561419315,8.39091687863,8.86415322693,27.1515951998,63.4361510387
PCG1-20171211220447.pkl,2.36552367423,3.37126720095,67.0886044056,86.6776975638,12.331171613,92.1996117828
PCG1-20171211220704.pkl,1.27576886376,2.59335152962,48.6057142818,50.8483104059,8.4544813011,71.5922768003
PCG1-20171211220927.pkl,0.789357226411,4.69243287755,34.9471448506,95.6068288736,17.5491869762,39.9683965933
PCG1-20171211221149.pkl,2.14558676153,3.96574674159,75.2787760033,91.8266936231,26.0987976772,87.4544558981
PCG1-20171211221359.pkl,0.0552302542155,2.97641905094,82.4028378456,74.3097350237,2.24670023384,47.732197995
PCG1-20171211221638.pkl,3.58104138419,0.963661784318,19.9698725757,29.0951086095,28.2841239973,65.2446155491
PCG1-20171211221857.pkl,1.99847394468,4.14440625209,54.0313210278,91.3009162708,12.0668495465,85.0853226637
PCG1-20171211222123.pkl,1.34859321031,2.48699638656,37.6055523401,84.4508503126,27.7642140589,13.251830922
PCG1-20171211222335.pkl,1.88588366945,4.17718806846,95.3619821954,57.7206371515,8.11052729821,7.47349907703
PCG1-20171211222556.pkl,0.0572627663415,1.40566936135,60.4853012938,75.0272054332,9.52307166344,66.2525772778
PCG1-20171211222822.pkl,0.498415370305,1.02908663516,73.8697084818,99.8345280556,12.7675185363,94.4648303968
PCG1-20171211223101.pkl,1.27327023983,0.3428109403,96.0347199558,70.8749664157,28.0730916509,87.3982467253
PCG1-20171211223329.pkl,3.54085651041,2.39150652986,32.1696511878,19.6646745908,27.1925630643,12.8124255073
PCG1-20171211223557.pkl,3.82432221989,1.54741785373,10.6785507495,44.5400287227,27.3904546178,7.36860091191
PCG1-20171211223823.pkl,0.0149557934044,0.568957550623,12.0632967523,32.0713180609,24.8781513983,81.004196062
PCG1-20171211224052.pkl,1.87784823642,1.77129638172,11.2415381221,84.3797023328,26.0589016606,26.4798664934
PCG1-20171211224317.pkl,0.760454263941,2.00979752599,20.0277691396,19.1023645581,25.9639857646,96.7074991036
PCG1-20171211224539.pkl,3.88611217785,2.81501144017,35.0883476349,58.4600346714,13.0031414912,97.5964963813
PCG1-20171211224801.pkl,1.1594965764,1.41967226756,81.5574820422,60.7712219526,22.8998012941,49.1582244499
PCG1-20171211225032.pkl,2.47682303662,2.60075244373,45.5339477845,72.0556576173,1.55833178156,63.4304477529
PCG1-20171211225250.pkl,3.8237833645,0.952358727199,86.1342701247,37.5844958495,17.0024341468,28.8931905965
PCG1-20171211225506.pkl,1.26943071323,2.30888698569,94.3913626117,86.9223515975,1.71248649867,25.4924160231
PCG1-20171211225742.pkl,0.0616148081441,0.496462077248,23.1963623813,48.3503486839,18.1876796185,14.6378281226
PCG1-20171211225954.pkl,0.280943457034,4.70946800424,99.1650932238,46.4925753463,22.5465498063,85.9378332053
PCG1-20171211230227.pkl,2.10073118584,1.37015840253,6.01048056624,77.6003478848,15.8431701289,27.8378685315
PCG1-20171211230446.pkl,3.53948442038,3.76989180426,36.6947992407,77.446656896,10.1228111406,57.2236296132
PCG1-20171211230715.pkl,1.34768237217,3.21409293094,91.5731420437,89.6790415883,21.4534958711,29.8699006176
PCG1-20171211230934.pkl,2.51133471414,0.648913675321,23.128762857,36.0195030138,0.0539858751713,58.1316210646
PCG1-20171211231150.pkl,1.07189913732,2.38154067387,88.6781208278,73.4842968352,7.4099859137,21.0462708839
PCG1-20171211231418.pkl,3.10951833473,0.340954153706,20.5883760382,62.8884563207,3.59969216815,37.6612610429
PCG1-20171211231647.pkl,3.78596743594,3.3863421034,55.4222865928,96.2378536917,9.05911834565,39.5183194224
PCG1-20171211231903.pkl,0.369145244017,4.64539400876,68.0635379845,23.748882365,27.8289385517,70.4215649719
PCG1-20171211232121.pkl,2.96114886258,2.94558270814,12.5914835005,96.2514578139,6.62383129987,78.8257082778
PCG1-20171211232330.pkl,3.88438308713,2.33920488094,79.4655002736,11.0393445229,13.0779748822,67.8005308648
PCG1-20171211232559.pkl,3.47463365301,2.82473245834,30.6536421143,56.9134463249,29.2218449509,65.5065128418
PCG1-20171211232807.pkl,2.49218639919,1.66885590671,99.841609757,6.55562768995,18.4516959006,99.7906196235
PCG1-20171211233019.pkl,1.16608210887,3.27409151609,90.9029752831,28.0337950669,0.557192871445,60.072813028
PCG1-20171211233252.pkl,2.20929805189,1.7297403676,22.8500530512,23.8240304699,18.8064394955,44.6038368442
PCG1-20171211233518.pkl,0.744669131497,3.67985495489,90.8325545465,89.0911109418,27.508688017,84.0584493837
PCG1-20171211233743.pkl,2.47788416287,4.64493002277,28.66010884,75.7192920815,8.29944548257,18.2587303271
PCG1-20171211234010.pkl,0.506810673201,0.416614550868,76.3439252852,56.6803588403,13.1383208795,32.7603895035
PCG1-20171211234239.pkl,3.08482322901,0.69537753405,75.1117472503,18.2247012892,24.613420251,99.1253189074
PCG1-20171211234456.pkl,0.414775135503,4.21346691012,74.2594719428,12.8943029404,29.7944445429,80.1863355167
PCG1-20171211234714.pkl,3.288085815,1.4601852504,8.33140564251,34.8633294173,4.00540395316,33.9286561953
PCG1-20171211234942.pkl,3.70333182861,4.61007465717,50.8127900703,44.8534345666,21.5504907459,14.2169975704
PCG1-20171211235208.pkl,3.66292162466,2.46165583232,96.9273951457,42.8466205148,28.2144879116,50.299339683
PCG1-20171211235432.pkl,3.07637614689,3.00161649225,56.1870406967,92.5877350789,24.4862713483,40.5491331006
PCG1-20171211235655.pkl,0.800250821868,1.87771920958,22.4631803961,55.983008134,26.6749385106,57.1271408038
PCG1-20171212001003.pkl,3.09569284293,3.98313268671,9.70104454249,1.06737885373,4.61800385037,27.3468514097
PCG1-20171212001216.pkl,0.4410794892,0.484347331034,85.4303054774,4.9754063424,24.1900609036,80.7861444839
PCG1-20171212001444.pkl,3.33306615722,4.25381983425,50.9149670675,52.6239500364,24.8985076364,15.1613573262
PCG1-20171212001659.pkl,3.18893067298,3.89950235716,52.0316377657,45.2332192147,11.7709711351,6.95688217067
PCG1-20171212001920.pkl,1.22375586124,1.00526814667,63.3107153356,53.286619248,22.3824158487,98.6677846793
PCG1-20171212002159.pkl,1.38998198947,0.116894100892,13.9626165739,82.3549955396,23.3304885558,69.4320183234
PCG1-20171212002411.pkl,2.4943702983,2.22770327242,50.4097644141,21.5919209743,3.39420598098,68.2256967716
PCG1-20171212002630.pkl,0.237297856117,3.54550618679,34.5514086871,44.1255233376,5.89342770711,35.2080647523
PCG1-20171212002854.pkl,1.32212338802,2.42956548357,10.9244070346,43.3058574687,16.6225197012,45.8277867173
PCG1-20171212003122.pkl,3.49951478729,2.8874322506,40.6396980926,81.0015019272,27.9263235762,79.5793690298
PCG1-20171212003342.pkl,2.81373744379,2.95407861242,81.4158947056,85.5979501965,1.16291642103,10.7174757383
PCG1-20171212003614.pkl,2.55561235131,1.28530304854,43.010314997,76.4864178174,2.72686250484,87.7237156123
PCG1-20171212003830.pkl,2.79008756192,2.96977995586,4.06776055299,11.5956152484,7.84743792776,56.7879278864
PCG1-20171212004050.pkl,2.18893341087,4.37395066676,66.9496715563,79.2226148337,17.1981523407,26.6708525692
PCG1-20171212004757.pkl,3.97541383173,2.66420489625,71.842090861,2.74636719175,2.81061815635,35.9030676849
PCG1-20171212005026.pkl,1.19862477053,2.19246971365,14.4128666731,57.1405682165,19.0999985949,71.4900840203
PCG1-20171212005303.pkl,2.09439950301,0.371129211783,42.1585813715,71.591716291,18.3155778071,47.2050699706
PCG1-20171212005519.pkl,1.11118207455,3.07372247491,87.5195934932,45.522082187,24.1414045036,77.764425187
PCG1-20171212005732.pkl,0.23849688959,3.31252502366,48.0657782199,19.2254818492,13.3894461028,9.67338913348
PCG1-20171212010002.pkl,1.20919729473,1.92982171921,42.2089559234,68.274152243,10.618938542,2.89448019715
PCG1-20171212010207.pkl,2.09291747365,4.75870670735,32.4724319769,10.7953761313,2.92784090922,9.97356428967
PCG1-20171212010424.pkl,0.763203485986,2.42444936486,32.6273361578,63.1978382859,6.57184316393,28.4950395087
PCG1-20171212010636.pkl,3.62417594174,3.48467325085,9.20738036609,29.6901104842,13.4515712665,35.7764878366
PCG1-20171212010854.pkl,0.0158483080009,2.1691720394,5.04835290405,22.0953658506,10.6384963101,19.9852472398
PCG1-20171212011130.pkl,3.40020173042,1.67800346114,11.532335242,50.6373043148,24.0876063982,1.86244394765
PCG1-20171212011350.pkl,1.0257698037,0.805239337726,24.194073149,15.6942696499,6.53382445695,8.27061072692
PCG1-20171212011608.pkl,0.577646120126,4.67672571266,82.7811451801,73.6191424613,23.7296745427,78.5758388429
PCG1-20171212011832.pkl,2.78690217712,0.719645994999,84.6089271886,72.3273526027,9.47939177523,6.94907091271
PCG1-20171212012052.pkl,0.992344615192,3.55426646111,56.5759868262,75.9040305768,19.6908843311,19.4378310719
PCG1-20171212012308.pkl,1.18935690901,3.40577612936,97.7753304316,87.7417849855,9.15300201135,4.11323543779
PCG1-20171212012534.pkl,3.51885377411,0.63480839285,67.5315051761,37.9353371588,14.4878579022,22.8924933881
PCG1-20171212012753.pkl,0.696504203571,1.96148969781,66.8795222091,52.5999248545,18.9598737832,83.5586275375
PCG1-20171212013011.pkl,0.760868647529,2.07311707717,99.4515874123,74.6459360912,21.9366529262,47.3880390405
PCG1-20171212013226.pkl,0.147735060895,0.987838143138,18.2398370264,22.6226541012,7.43217620275,21.1499120612
PCG1-20171212013447.pkl,0.507502496202,1.37196848775,56.296887423,64.1838924584,8.28201077285,30.6486252267
PCG1-20171212013717.pkl,0.903295793928,1.53563150247,55.2776067094,95.1622178567,29.7758928709,15.9809025457
PCG1-20171212013933.pkl,2.61820427036,3.30058835375,62.1653771673,36.7259059554,23.2711832001,19.9269487813
PCG1-20171212014140.pkl,0.385266763583,2.31582666981,56.7235147494,27.5670436793,2.81504565406,37.1793850687
PCG1-20171212014413.pkl,3.18437692172,1.05134776674,34.5705567438,91.6451920019,22.5824741822,7.6293272071
PCG1-20171212014644.pkl,2.45504537173,1.60196827763,37.1826404137,16.4327621619,26.963206313,93.8567758708
PCG1-20171212014916.pkl,3.70850955173,1.63661916764,42.2271996194,95.1103294857,28.8068098818,24.3158911423
PCG1-20171212020503.pkl,2.71894714576,3.03048134422,37.1979493471,1.63583965889,21.351340742,59.9064588413
PCG1-20171212020725.pkl,2.8921431445,1.15779516049,2.66115566909,41.8976165026,2.72258968229,12.1720547746
PCG1-20171212020958.pkl,3.30992406374,0.963252546984,10.472053561,74.9224563353,8.74352914054,29.6792616492
PCG1-20171212021205.pkl,3.82687784707,3.25519504478,89.2677911953,6.85661976507,19.7297155675,65.2451486976
PCG1-20171212021425.pkl,3.04958609133,0.641423207841,52.5335071441,20.1514041816,24.4777251461,35.3232550361
PCG1-20171212021645.pkl,2.98536430913,4.20355015206,55.7662501294,66.0831606821,9.92615806095,63.9817900883
PCG1-20171212021850.pkl,0.2976756441,4.39019116222,31.6852102979,9.25129970092,6.45091807848,79.5814673816
PCG1-20171212022107.pkl,3.06515380682,3.72845686077,11.9845453971,2.64246609074,18.8320163046,12.5705018661
PCG1-20171212022343.pkl,3.52447882532,0.732583936232,41.1267436638,50.8783235228,13.4949698837,59.2288744833
PCG1-20171212022613.pkl,3.65201709234,0.54784028004,40.5864093211,20.8400231145,18.8418765886,3.70329508607
PCG1-20171212022828.pkl,2.23329015616,1.61137701099,82.0455876654,51.3466594813,6.38671523425,4.94648660535
PCG1-20171212023049.pkl,3.20591638881,4.75143435179,13.3180384879,98.0793699975,22.880064393,15.3259229368
PCG1-20171212023305.pkl,0.266408400513,1.22529848749,31.0558260026,47.768519036,6.57441451648,2.67560461961
