file,mu0,gamma0,theta0,theta1,eta0,kappa0,kappa1
PG3PC1PC2-20180108212747.pkl,2.42719767642,21.0686868748,0.859329617398,0.278027966637,20.7620070005,83.9138180527,13.2970631858
PG3PC1PC2-20180108213456.pkl,0.129643543354,12.3403123411,0.564541228491,9.9443102419,46.4351752462,98.2104202041,74.5552838123
PG3PC1PC2-20180108214216.pkl,1.37282654604,4.38460565484,0.808655129635,6.36728684892,6.79258897636,46.7064831055,93.5613040868
PG3PC1PC2-20180108214951.pkl,1.58744071982,2.22303238355,0.586902933395,1.3622860467,43.6836404187,45.5642765549,73.3586814732
PG3PC1PC2-20180108215654.pkl,0.0726741906493,5.23171070045,0.489806504846,3.73774521284,12.8392516448,22.6155591517,97.4094440248
PG3PC1PC2-20180108221612.pkl,3.06722414018,4.31313417137,0.248220312488,6.56149136246,31.7826111924,9.85342676876,39.4980968135
PG3PC1PC2-20180108222444.pkl,0.00839050424602,4.71791154112,0.255362582019,8.22013502026,17.6108030099,3.2395351573,32.3731574378
PG3PC1PC2-20180108222914.pkl,1.66476440488,26.7804753351,0.983369340124,0.069636039307,56.4056349607,61.8311310541,64.9665059725
PG3PC1PC2-20180108224426.pkl,2.15879102567,2.60926396956,0.682285485591,1.30707781587,62.0682747537,22.5973062789,5.96382315396
PG3PC1PC2-20180108225412.pkl,2.57662866824,28.4049536524,0.0656711292165,0.690798200548,96.4963670519,68.0699410699,54.0980446551
PG3PC1PC2-20180108230113.pkl,0.449081235506,20.8329761254,0.488010821604,3.47959987198,27.5458740789,13.8772662669,23.2967654113
PG3PC1PC2-20180108230829.pkl,2.25884428192,9.76014175932,0.84080726701,6.45828558548,19.9270019695,27.5471259253,81.8486893378
PG3PC1PC2-20180108233213.pkl,3.01702113472,15.0729912891,0.89074823647,8.73432962097,40.5233954351,25.1563563659,27.2983997982
PG3PC1PC2-20180108234012.pkl,0.173249318969,3.16510239907,0.281665528285,3.459288126,44.6174317169,1.38340166654,50.7212084876
PG3PC1PC2-20180108234412.pkl,0.487545936891,24.859298787,0.294382494488,8.16494425216,4.54797744079,96.477224121,72.9876172047
PG3PC1PC2-20180108234846.pkl,2.09468378845,29.5735600895,0.372860593506,1.34335589511,49.0058933291,97.8699890029,51.8729068926
PG3PC1PC2-20180108235256.pkl,1.61220691931,23.7323538721,0.412924297485,4.23903704514,51.8116340152,63.9237376021,14.0124968698
PG3PC1PC2-20180109001627.pkl,0.473112436067,25.9715108752,0.947755284996,5.95178349138,46.4114828977,53.6785765709,99.1320176015
PG3PC1PC2-20180109002451.pkl,0.748411779694,16.5112125575,0.528141665909,5.32695985902,99.0028180212,17.7823694883,87.2112725738
PG3PC1PC2-20180109002917.pkl,3.13374965173,27.9830857345,0.902902216417,2.43466874297,16.8988237655,4.47025747416,77.9805298219
PG3PC1PC2-20180109003355.pkl,3.0293487119,28.7634527359,0.090366227406,7.41088667162,90.2210256453,78.4985836524,85.4858372353
PG3PC1PC2-20180109004150.pkl,0.36852011766,3.21936549877,0.159127545534,3.15732747588,15.6799847511,14.5675399155,36.900382938
PG3PC1PC2-20180109004956.pkl,1.0392573599,5.57822532333,0.611153304402,6.65609678033,10.1572409606,1.95059784571,91.5740404908
PG3PC1PC2-20180109005417.pkl,2.02362894604,21.1068032826,0.924147330987,3.42710128228,28.0355377963,56.7529277099,65.4748216476
PG3PC1PC2-20180109005839.pkl,1.90260510224,23.4354998246,0.101174235144,5.46529049567,83.5421309067,46.3516066857,58.7202841794
PG3PC1PC2-20180109010250.pkl,2.09762519544,19.4690741805,0.595833005258,2.82849515593,78.0821056902,9.71725056272,1.30073842534
PG3PC1PC2-20180109011039.pkl,1.71841673324,21.3285302297,0.8057688889,7.417543192,68.4086987974,90.6423899139,31.0672502873
PG3PC1PC2-20180109011906.pkl,1.0314559679,14.5828864081,0.792346988382,9.26278951539,97.1567134024,35.0753306148,56.7808368365
PG3PC1PC2-20180109012655.pkl,2.79437781973,9.8979220968,0.552243973922,7.41128983606,39.8284681101,87.5554634479,52.7935810336
PG3PC1PC2-20180109013150.pkl,3.50703775421,18.1727159108,0.878279903429,4.35761516957,10.0530632565,63.6335586664,29.6391157099
PG3PC1PC2-20180109015241.pkl,1.64240611537,13.6547227698,0.637069582827,9.11733816545,31.7854008647,52.1029207422,15.6255450689
PG3PC1PC2-20180109015722.pkl,1.45950751082,20.2303635881,0.930677318051,0.779205394333,68.2481269428,2.18591538558,67.1275726302
PG3PC1PC2-20180109020855.pkl,0.315014445319,13.442391081,0.974183124397,0.670249861451,84.455674149,93.0940317288,21.6234049293
PG3PC1PC2-20180109021307.pkl,2.61373098422,11.112322124,0.902134933029,1.45661663811,63.2931906301,29.9117236393,94.6772611915
PG3PC1PC2-20180109021718.pkl,3.78727499483,7.99662644661,0.684492408762,0.628737457501,18.2967929288,32.344595214,66.5222494706
PG3PC1PC2-20180109022115.pkl,0.54653228145,27.760788941,0.479512795345,1.9404191136,5.89236465239,35.8921959762,39.4732458024
PG3PC1PC2-20180109022929.pkl,1.21017199933,0.485765289402,0.0392392932368,6.43891957067,34.6231822895,65.262102535,56.0073362408
PG3PC1PC2-20180109023759.pkl,0.121582659498,4.28337431227,0.645391642138,1.96821904304,55.1951247021,38.5938471625,2.92552201243
PG3PC1PC2-20180109024714.pkl,0.076429743889,24.0464315616,0.817519491015,9.74708729804,94.8099245445,93.5185694152,31.7862745033
PG3PC1PC2-20180109030517.pkl,2.49490766477,3.66340086499,0.773025166563,6.44455393603,58.2824911401,15.7588682284,13.8861349668
PG3PC1PC2-20180109030930.pkl,3.23328932074,20.7444932579,0.96415225293,5.16912045131,28.1977366345,71.8165198027,14.3766970856
PG3PC1PC2-20180109031350.pkl,3.9935016071,18.4744548326,0.285759220798,6.35116856316,92.4793950814,6.10126576624,71.4010883041
PG3PC1PC2-20180109032124.pkl,0.310120154641,6.24465794267,0.321675543222,8.40052126879,1.94224228921,4.55407881807,9.17546519892
PG3PC1PC2-20180109032551.pkl,1.73210884278,16.3385080009,0.962460594241,2.2855853859,59.5237030473,82.4139075629,3.8316703663
PG3PC1PC2-20180109033226.pkl,0.534661256807,8.7261695498,0.00940547677354,8.85924725629,41.5764445878,66.917942087,36.8425414967
PG3PC1PC2-20180109033649.pkl,3.53621339697,14.7144842377,0.187281736282,9.94544738466,23.724645692,67.6684403185,78.9583238289
PG3PC1PC2-20180109034456.pkl,3.44842654128,6.0270247255,0.48615360974,5.08795774524,86.5803799765,55.091553658,21.3937494129
PG3PC1PC2-20180109034910.pkl,1.75201332147,28.5846152827,0.0321022954221,4.3587517182,18.693615495,77.4525771833,98.0244076103
PG3PC1PC2-20180109035322.pkl,3.65322051363,8.43762101075,0.434517961987,4.75021052405,10.7163381816,96.8816912387,95.6363016164
PG3PC1PC2-20180109035731.pkl,2.0920217763,10.346262231,0.450601872943,1.29238050424,85.6657712212,64.5476917603,46.3426102062
PG3PC1PC2-20180109040626.pkl,1.40077395899,18.8065124398,0.378230478824,9.69094448618,30.8699927915,64.7818958417,88.2953057779
PG3PC1PC2-20180109041149.pkl,1.38033216816,0.822545962877,0.926426760617,0.888919963776,36.0279931974,44.1106557006,71.0055864779
PG3PC1PC2-20180109041631.pkl,3.28857454505,28.6109180657,0.310484294351,6.96754733029,94.9797706041,82.1690384661,20.4675995461
PG3PC1PC2-20180109042036.pkl,2.74764425316,26.8389926694,0.330761349763,3.26092149411,21.4024453381,1.16419549778,13.2021508686
PG3PC1PC2-20180109042633.pkl,3.00010975156,18.0327928236,0.644841782528,8.94329924581,75.4693385522,26.4878603666,85.1754420215
PG3PC1PC2-20180109043048.pkl,0.819759432604,14.3423031934,0.149716021375,2.91586558956,54.226732675,59.0440607466,21.5496021626
PG3PC1PC2-20180109043744.pkl,0.412008943829,22.2587745204,0.674817489752,1.81684455762,74.886038073,56.0965295795,4.27238635104
PG3PC1PC2-20180109044754.pkl,0.503953446527,14.1141711777,0.578361331921,4.68238446851,89.3463565647,79.8868533858,20.8875990595
PG3PC1PC2-20180109045920.pkl,1.89492143731,6.76105794715,0.937542080616,3.38462518772,62.7621979826,7.172236758,83.5544584734
PG3PC1PC2-20180109050348.pkl,3.36195253846,15.7407619728,0.128279057727,6.61449872856,85.0151870312,95.5650929187,96.8695143699
PG3PC1PC2-20180109051125.pkl,3.03549718776,16.1902648387,0.465683327584,0.840360239747,89.8702862659,9.66122296093,59.780817915
PG3PC1PC2-20180109052000.pkl,1.39591434232,1.63267385565,0.637485407635,6.03474511123,62.2386302453,11.5349020149,89.5160300369
PG3PC1PC2-20180109052431.pkl,0.260585640941,27.3366497228,0.0793118377657,1.18877947968,80.8337648376,89.4038059703,24.4736761528
PG3PC1PC2-20180109053249.pkl,1.94367871731,2.31837196581,0.267387190858,2.81331361244,69.6084095475,26.2131961215,23.2015845108
PG3PC1PC2-20180109054044.pkl,0.0258901962202,12.6560399516,0.0817334349297,5.5565327825,21.0917799488,2.1306236213,36.6122896683
PG3PC1PC2-20180109054508.pkl,2.53522720903,26.9720223254,0.444633562936,1.24341794595,53.1087404393,71.0257518603,56.7128989992
PG3PC1PC2-20180109055242.pkl,0.387134910479,11.1442450946,0.402316194883,1.66963922726,54.9143894909,19.0751808263,11.6548722092
PG3PC1PC2-20180109060131.pkl,0.141611883612,1.3130616377,0.671196972335,9.09665965413,56.8833787829,78.076079118,22.2560573266
PG3PC1PC2-20180109061013.pkl,0.0481635382688,15.871991666,0.384576806374,2.49448985673,78.8928616497,4.78940771212,81.7713169826
PG3PC1PC2-20180109061854.pkl,1.95249010145,11.2290562411,0.9054448274,6.97799180984,38.7991856333,50.7287758258,29.3997841298
PG3PC1PC2-20180109062752.pkl,0.894037543052,4.6360291552,0.888731716822,1.62762093998,87.6727410282,6.51567855315,6.56239263398
PG3PC1PC2-20180109063902.pkl,0.88598038965,9.28999300389,0.459977986146,6.90893247292,55.6376494362,28.7229750892,66.1646915224
PG3PC1PC2-20180109064316.pkl,1.0959753605,13.8381427654,0.23263513419,8.57894904231,19.0224481631,84.0309891911,50.7980705836
PG3PC1PC2-20180109070619.pkl,2.90774076125,4.60078357801,0.018819216947,9.00372019925,93.9818959808,63.9903507772,2.81040575096
PG3PC1PC2-20180109071056.pkl,1.11097903608,17.0709873655,0.421185869575,4.12010866662,88.3942094114,7.25973826762,56.3300005957
PG3PC1PC2-20180109071518.pkl,2.16932752957,7.52201305991,0.149137741166,5.71839855655,39.5320699226,50.7722557029,86.1705232529
PG3PC1PC2-20180109072350.pkl,0.29793659968,1.3027200644,0.715592616624,4.53109130328,16.8678359065,85.699817777,47.129780906
PG3PC1PC2-20180109075042.pkl,0.51242194485,19.0994358966,0.441501455929,3.52722821943,67.6661742443,88.4300368113,54.5606049302
PG3PC1PC2-20180109075502.pkl,1.52947490213,29.1288494999,0.203824800044,3.33986800435,89.4207118029,9.80116514437,81.0042504097
PG3PC1PC2-20180109080247.pkl,3.71068101038,9.64661845315,0.664050765179,8.37404072408,1.42714391471,66.5134302378,33.2992880353
PG3PC1PC2-20180109080721.pkl,1.28528843289,21.7759344154,0.361585004501,3.17880518938,84.7106174354,13.7575684587,1.17170388481
PG3PC1PC2-20180109082015.pkl,1.19715032046,13.7105524171,0.671243913801,6.77327304822,10.7987573127,66.1887280759,16.4314466264
PG3PC1PC2-20180109082442.pkl,2.59386094187,19.7670342848,0.466586758844,7.32958829046,42.7880788219,31.8204272491,23.9592020677
PG3PC1PC2-20180109083256.pkl,0.899707946372,18.0717286983,0.536559537473,7.97313766044,46.5135586712,47.478024828,41.4032140371
PG3PC1PC2-20180109083716.pkl,3.53337663509,20.3776818985,0.721346564489,5.33134550961,66.3412049508,20.3846514322,79.8195602717
PG3PC1PC2-20180109084449.pkl,0.227969121208,14.4223131286,0.543631951586,0.378482715864,33.2849114797,92.3002546986,71.025604018
PG3PC1PC2-20180109084849.pkl,2.90264592095,22.1201389377,0.715638180176,2.00619774767,75.6929328367,58.2403414576,35.7510753619
PG3PC1PC2-20180109085411.pkl,3.78089133485,11.4383790005,0.458508199197,7.7407129232,89.928436819,61.0343598443,39.6507781989
PG3PC1PC2-20180109085838.pkl,2.86465856648,27.4177164705,0.916660960305,8.34977334818,2.11129502919,26.553412739,92.2318936752
PG3PC1PC2-20180109090649.pkl,0.528355256945,15.741347784,0.469281925505,3.9583528008,43.7839480529,87.7380063493,5.44033519372
PG3PC1PC2-20180109091326.pkl,2.18297635207,20.6367396605,0.370600647589,1.55300771655,92.5525174366,17.3936520271,38.0549035769
PG3PC1PC2-20180109091732.pkl,3.13703626342,6.31683795645,0.169472498382,4.20960880016,26.9609688247,1.42765164495,81.4950749477
PG3PC1PC2-20180109092607.pkl,0.0213469391499,5.04962523499,0.913488821515,4.5223110007,56.6863273741,11.4436067296,45.263723146
PG3PC1PC2-20180109093429.pkl,0.0900106557626,28.1148333583,0.874092468912,1.0202757754,56.4446121364,43.2227026468,13.249376021
PG3PC1PC2-20180109094108.pkl,1.16456464438,1.82476724123,0.820328009802,6.92275401067,63.1500766601,85.465209702,22.2012381165
PG3PC1PC2-20180109094954.pkl,2.23192249208,9.26178346696,0.707891638766,7.6688082814,11.1168678083,93.7930286305,66.5911406163
PG3PC1PC2-20180109100401.pkl,3.49635472318,4.52807842469,0.921468136183,4.6406584486,21.8838121954,45.8979598006,46.748256319
PG3PC1PC2-20180109100909.pkl,1.60688126534,18.0227117299,0.939846088679,2.63165705191,86.4460903196,8.96787289543,12.116392722
PG3PC1PC2-20180109101255.pkl,3.82201182636,27.3456410326,0.937157086016,8.28759055644,41.6139065361,75.9566203089,77.3571661384
PG3PC1PC2-20180109101613.pkl,2.77093524406,9.84586393384,0.223332337281,9.19711590549,60.3742369913,4.49494665828,44.7136381447
PG3PC1PC2-20180109102227.pkl,0.233022259113,10.1830679794,0.145066581267,6.44405166894,96.4981366305,34.7598417892,29.3322042256
PG3PC1PC2-20180109103925.pkl,0.148808220488,29.1304748927,0.144487716573,3.38155458287,91.804663236,14.1387409945,30.3509045099
PG3PC1PC2-20180109104241.pkl,1.04052017205,23.2204633594,0.13616004402,3.77576836095,81.9693602828,98.6738548504,52.4164648334
PG3PC1PC2-20180109104901.pkl,0.116614040272,5.64006932025,0.0477269252402,3.83818349926,55.0180119133,84.7665285768,64.7959951906
PG3PC1PC2-20180109105457.pkl,0.0348898795653,27.6300569877,0.0909809621042,9.04562879249,22.0969964205,83.9003497482,54.8361928401
PG3PC1PC2-20180109110915.pkl,0.685778107955,24.9042085779,0.673531106358,6.23282672407,28.707614866,42.049768122,4.82092081935
PG3PC1PC2-20180109111232.pkl,3.14101921584,5.22771195167,0.831517854924,0.252715528083,27.2071416576,91.3887200547,47.1131252571
PG3PC1PC2-20180109113623.pkl,0.287698948316,8.35190240245,0.742251310915,4.09965628988,62.4487074282,69.6069690237,28.0630759355
PG3PC1PC2-20180109115311.pkl,0.691571780013,26.364236609,0.828080953457,0.883239353467,9.85404627096,96.1869498267,76.7970191332
PG3PC1PC2-20180109120721.pkl,1.95240748329,0.388272999039,0.412702262568,0.183353274369,26.9676042053,48.3416024807,78.6529240524
PG3PC1PC2-20180109122734.pkl,0.889238550476,7.13138718883,0.867227224608,6.49528448378,57.5064636712,21.6497948994,83.3471305139
PG3PC1PC2-20180109123947.pkl,3.4204769552,15.3382030472,0.130963318554,9.24444227868,19.3721742466,20.3337497365,91.8602912477
PG3PC1PC2-20180109124928.pkl,3.76260291515,24.7021857249,0.841645581558,9.08921171126,80.0577804189,54.3443063533,41.3897663141
PG3PC1PC2-20180109130855.pkl,2.04266099811,10.3304005222,0.950685543003,9.94913569031,35.837373446,50.6844796374,53.7561907495
PG3PC1PC2-20180109131647.pkl,1.97818989795,20.6833049767,0.952285699704,4.2411550858,91.8273882351,14.1324485915,21.760777903
PG3PC1PC2-20180109132428.pkl,2.3472637574,20.5767788943,0.218061397749,9.14501588895,77.4964759715,89.2830606535,30.2241334727
PG3PC1PC2-20180109133719.pkl,1.19300909531,8.35115818634,0.294293807938,9.15240568285,91.9149649226,72.6095122265,17.5443456113
PG3PC1PC2-20180109140423.pkl,0.517116195364,8.52206553327,0.265256622554,9.72332702125,90.7569488491,95.802060894,41.9206024523
PG3PC1PC2-20180109141749.pkl,3.00972537192,10.2865300816,0.332286693366,6.06822149204,38.8218541336,74.5203417597,82.1281797729
PG3PC1PC2-20180109144017.pkl,0.174056434384,3.61085220101,0.658146212609,1.26128619839,93.4906733053,16.8155649646,57.1306758032
PG3PC1PC2-20180109151322.pkl,3.60313908437,7.16084494635,0.991128903772,5.08674584025,62.5166197037,6.764312985,51.7863408321
PG3PC1PC2-20180109152453.pkl,3.21175794952,25.5892687178,0.431665663283,4.13164445678,19.5281999694,7.83232082605,31.3650343279
PG3PC1PC2-20180109154347.pkl,1.76457901497,11.3476012461,0.575289494059,0.841630096438,1.18192955254,23.1848062853,54.8829907479
PG3PC1PC2-20180109160019.pkl,1.5689687879,9.40554922221,0.0317011696631,0.464664869017,16.2878811367,15.6611421486,89.9081926148
PG3PC1PC2-20180109162539.pkl,2.1980078009,8.88725690246,0.863384776129,8.60600806867,6.26598362703,45.3841860579,28.1376739855
PG3PC1PC2-20180109164236.pkl,0.142485604527,2.28221153184,0.834320316459,6.65587135473,0.0933760427804,87.3368826596,73.3118231444
PG3PC1PC2-20180109165042.pkl,2.22171218551,24.0969659703,0.505499272387,6.30981546463,45.6991645701,58.5654241388,39.892302587
PG3PC1PC2-20180109170611.pkl,1.44400642121,1.10010208273,0.966948295003,9.98795480086,49.082807087,15.7539646859,55.043653314
PG3PC1PC2-20180109172443.pkl,0.134714443161,9.01848559538,0.166304920688,1.24892183043,37.5514052705,90.8045768579,70.0367643612
PG3PC1PC2-20180109174436.pkl,3.54614099789,18.8258755014,0.512231568147,7.74407362345,96.0020468813,46.4203609863,53.3183659302
PG3PC1PC2-20180109180347.pkl,3.29552079521,12.9914466376,0.217037906356,0.251030128786,68.6475028684,7.31504937028,86.8598689841
PG3PC1PC2-20180109182118.pkl,0.478363011337,16.4538424689,0.214242798668,4.2059892501,58.4258385981,28.784599949,71.8877153896
PG3PC1PC2-20180109184049.pkl,3.26113022152,23.0621309532,0.0514543695408,0.100695421617,40.2625149285,47.4342553219,23.4108661719
PG3PC1PC2-20180109191748.pkl,1.03789273024,3.71458562788,0.252960770598,2.76558759794,97.5139372442,76.9509948302,71.2000501315
PG3PC1PC2-20180109193813.pkl,3.9847369545,13.2258672217,0.314974815416,8.69967888499,44.3141950434,14.0509230371,87.772534018
PG3PC1PC2-20180109195546.pkl,3.21550046037,23.3013803995,0.581662283569,8.377309875,87.9308564059,83.9865554976,26.5306257978
