sender_id,receiver_id,value,corrected,corrected_body,origin_body,diff
29,0,0.0,1,"This order was listed at the wrong price due to a system error of ●● and received an order.
Seller Support promises that it will delete feedback resulted from this system error.
And some feedback has already been deleted.
Please kindly delete this feedback, too.
Thank you in advance.","This order was listed at wrong price due to the system error of ●● and received an order.
Seller Support promises that it will delete feedback done by system error.
And some feedback have already been deleted.
Please kindly delete this feedback, too.
Thank you in advance.",4
29,0,0.0,1,"If this problem will not be solved by February 5, we will reship the same item to you or give you a refund.
If you receive the item before then, please let us know.

We will keep in touch with you.
Thank you.","If this problem will not be solved until February 5, we will reship the same item to you or give you a refund.
If you receive the item until then, please let us know.

We will keep contact with you.
Thank you.",3
95,0,1.0,1,"I did not understand the meaning of your message.
Does ""additional item"" mean the missing item which I informed you the other day?

And have you already shipped the missing item?

If you have already shipped the missing item, please let me know the tracking number.","I did not understand the meaning of your message.
Does ""additional item"" mean the missing item which I inform you the other day?

And have you already shipped the missing item?

If you have already shipped the missing item, please let me know the tracking number.",1
88,0,1.0,1,"We are very sorry, we were notified by the wholesale seller that the item which you bought from us would come in May.
This is completely a mistake in controlling our inventory.
Of course we will give you a refund.
We will inform you once we get the item.
If you would order again when we get the item in, we will give you a discount. We would appreciate your understanding.

Again, we apologize you for any inconvenience caused to you. ","We are very sorry, we were noticed from the wholesale seller that the item which you bought from us would come in May.
This is completely a mistake in controlling our inventory.
Of course we will give you a refund.
We will inform you once we get the item.
If you would order again when we get the item in, we will give you a discount. We would appreciate your understanding.

Again, we apologize you for any inconvenience caused to you. ",1
88,0,1.0,1,"I still have not heard from you regarding  the quotation for the repair for ●●● which I asked you for the other day.

Sorry to take your precious time, but please kindly give me a reply. ","As for the quotation for ●●● which I asked you for the other day, I do not yet received your reply.

Sorry to take your precious time, but please kindly give me a reply. ",3
29,0,-1.0,1,"Regdrding [spelling] the Sugi bas [spelling]:
I have negotiated with the wholesaler, and $**+shipping is the best price.
The catalog price of this bass is $4000 [?], so it would be difficult to lower the price.
Please kindly consider.","Regdrding Sugi bas:
I have negotiated with the wholesaler, and ＄**+Shipping　Cost is the best price.
The catalog price of this bass is $4000, so it would be difficult to lower the price.
Please kindly consider.",4
88,0,1.0,1,"The item will be shipped out on 13th or 14th as scheduled, and you will receive it within 3 to 5 days. However, if it is delayed by USPS or the customs, the arrival will be delayed from the date scheduled.
Would you like us to continue processing this order?","The item will be shipped out on 13th or 14th as scheduled, and you will receive it within 3 to 5 days. However, if it is delayed due to USPS or the customs, the arrival will be delayed than scheduled.
Do you agree to continue this order?",5
149,0,1.0,0,"The item will be shipped out on 13th or 14th as scheduled, and you will receive it within 3 to 5 days. However, if it is delayed due to USPS or the customs, the arrival will be delayed than scheduled.
Do you agree to continue this order?","The item will be shipped out on 13th or 14th as scheduled, and you will receive it within 3 to 5 days. However, if it is delayed due to USPS or the customs, the arrival will be delayed than scheduled.
Do you agree to continue this order?",0
88,0,1.0,1,"We can indicate ""gift"" in the invoice and describe ""used camera (lens)"" as the product name. 
However, we cannot indicate the price lower than the actual price, as it is a breach of ebay policy.
Sorry but please understand.   ","It is possible to describe ""gift"" in the invoice and to describe ""used camera(lens)"" as the product name. 
But as it is a breach to ebay policy to describe a price lower than the actual price in an invoice, we will not do that.
Sorry but please understand.   ",5
149,0,0.0,1,"It is possible to describe the item ""gift"" in the invoice and to describe ""used camera(lens)"" as the item name. 
But as it is a breach to ebay policy to describe a price lower than the actual price in an invoice, we will not do that.
We are very sorry for the inconcenience caused.","It is possible to describe ""gift"" in the invoice and to describe ""used camera(lens)"" as the product name. 
But as it is a breach to ebay policy to describe a price lower than the actual price in an invoice, we will not do that.
Sorry but please understand.   ",3
4,1,1.0,1,"We are very sorry for not being able to send you the important order that you were to use as a birthday present. We will make a refund to you. You will receive an email in regards to the agreement of order cancellation from eBay. Please choose ""Agree"". We will refund the full amount as soon as we confirm it. Again, we are very sorry that you have experienced the great trouble.","We are very sorry for not being able to send you the important order that you were to use as a birthday present. We will make a refund to you. You will receive an email in regards to the agreement of order cancellation from ebay. Please choose ""Agree"". We will refund the full amount as soon as we confirm it. Again, we are very sorry that you have experience the great trouble.",2
11,1,1.0,1,"Produced by Naoya Urata, the Men's Nail Care Kit & NIAC Collaboration Item goes on sale in March!!!

Produced by Naoya Urata
Men's Nail Care Kit goes on sale in March!!

You can take care of your nails by yourself with no hassle. 
The sale for the Men's Nail Care Kit, produced by Naoya Urata, has been decided!!

Release Date: Coming soon in March 2015

Advanced release: Harajuku NIAC
(4-25-35 Jungumae, Shibuya-ku, Tokyo)
*Coming soon to other stores

Contact: Pepper, Co. Ltd
(03-6416-4725)

The Nail Salon ""esNAIL"" Collaboration Campaign is also underway!","Produced by Naoya Urata, Men's Nail Care Kit & NIAC Collaboration Item, Go on sale in March!!!

Produced by Naoya Urata
Men's Nail Care Kit Go on sale in March!!

You can take care of your nail by yourself no hassle. 
Sale of Men's Nail Care Kit produced by Naoya Urata is set!!

Release Date: Coming soon in March 2015

Advanced release: Harajuku NIAC
(4-25-35 Jungumae, Shibuya-ku, Tokyo)
*Coming soon in other stores

Contact: Pepper, Co. Ltd
(03-6416-4725)

Nail Salon ""esNAIL"" Collaboration campaign also underway",12
60,2,1.0,0,"Hello.
The original document has arrived.
Thank you very much.

I will not be able to go to the Indian exhibition because of my schedule.
I am thinking of a product with a new design. After finishing it, I will send the drawing of it by Email.

I hope your cooperation in the future. Thank you.","Hello.
The original document has arrived.
Thank you very much.

I will not be able to go to the Indian exhibition because of my schedule.
I am thinking of a product with a new design. After finishing it, I will send the drawing of it by Email.

I hope your cooperation in the future. Thank you.",0
43,2,1.0,1,"I'm sorry to be late.
It seems that the user's interface has changed because I can't find the re-forwarding page of the invoice.
Will you make the payment for the invoice I send you before?
I am sorry to have caused you trouble, so I will give you a free shipping.
I sincerely apologize to you.
After you make the payment, I will give you back $ 9 I charged you as a shipping charge.
I will send you the product by ePacket.
Is it OK with you?
I am really sorry to have kept you waiting.","I'm sorry to be late.
It seems that the user's interface has changed because I can't find the re-forwarding page of the invoice.
Will you make a payment I send you before?
I am sorry to have caused you trouble, so I will give you a free shipping.
I sincerely apologize to you.
After you make a payment, I will give you back $9 I charged you as a shipping charge.
I will send you the product by E packet.
Is it OK with you?
I am really sorry to have kept you waiting.",5
48,2,0.0,1,"I am making a website as a general agency of Japan at a rapid pace.

I am thinking of placing this order at the beginning of December.

Please tell me the shipping costs for the products to Japan and CA.

The products I am planning to order are as follows:

About your question to the last Email, will you process the payment and the shipment beforehand so that I can check the samples I requested?

I plan to request the products as samples to be sent to Florida.
Please tell me the shipping cost to Florida as well.","I am making a website as a general agency of Japan at a rapid pace.

I am thinking of placing this order at the beginning of December.

Please tell me the shipping costs of products to Japan and CA.

The products I am planning to order are as follows:

About your question to the last Email, will you process the payment and the shipment beforehand so that I can check the samples I asked?

I plan to send the products as samples to Florida.
Please tell me the shipping cost to Florida as well.",4
48,2,0.0,1,"If you kindly write the damage report, I can deal with it  smoothly.
Your contribution would be deeply appreciated.

Please let me know the voucher number for return.

Please send the item back to me.

I already made a refund.

If you don't send it back,  I will inform ebay, PayPal and the police in your country based on the seller protection policy.
You are obstructing my business.
This is equivalent to fraud. 

Since this is the final notification, please make a proper judgment.","If you kindly write the damage report, I can correspond smoothly.
Your contribution would be deeply appreciated.

Please let me know the voucher number of return.

Please send the item back to me.

I already made a refund.

If you don't send it back,  I will inform ebay, PayPal and the police in your country based on the seller protection law.
You are obstructing my business.
You are  frauding.

Since this is the final notification, please make a proper judgment.",4
88,2,1.0,1,"I received the item today, but one set of AAA was missing. Will you send it? I'm waiting for your reply.","I received the item, but one set of AAA was missing. Will you send it? I'm waiting for your reply.",1
88,2,1.0,1,"Ekipedia APP for your smartphone
MAP and Route chart are double spread on your tablet, which are easy to be seen.
Ekipedia Subway Route Chart_9 cities list (free download)
Ekipedia Subway MAP series (of each 9 city, released in series for paid subscription)
It can be shared by PC, tablet and smartphone!
For downloading, membership registration with e-book website is needed.
Ekipedia Subway barrier free map (of each city) 
of Osaka, Yokohama, Kyoto, Kobe and Sapporo
These can be purchased at bookstores and Amazon!
Handy B6 size (12.5cmx18cm) convenient for carrying","Ekipedia APP for your smartphone
MAP and Route chart are double spread on your tablet, which are easy to be seen.
Ekipedia Subway Route Chart_9 cities list (free download)
Ekipedia Subway MAP series (of each 9 city, released in series)
It can be shared by PC, tablet and smartphone!
For downloading, membership registration of ebook website is needed.
Ekipedia Subway barrier free map (of each city) 
of Osaka, Yokohama, Kyoto, Kobe and Sapporo
These can be purchased at bookstores and Amazon!
Handy B6 size (12.5cmx18cm) convenient for carrying",2
29,2,0.0,1,"Helpers and people who go out with baby carriages and wheelchairs are pleased [awkward].
Web service using ""API"", offered by Ekipedia [imcomplete sentence]
will start in May 2014! [subject is missing]
API allows you to put ""Ekipedia MAP"" in your website and blog easily.
You can use ""Ekipedia MAP"" for free, as a route guide to the nearest station for your destination. It offers you an easy barrier free route.
As services for corporations, it offers Terminal ekipedia MAP and Route map, including subway stations. These are for profit.","Helpers and people who go out with baby carriage and wheelchair are pleased.
Web service using ""API"", offered by Ekipedia
will start in May 2014!
API allows you to put ""Ekipedia MAP"" in your website and blog easily.
You can use ""Ekipedia MAP"" for free, as a route guide to the nearest station for your destination. It offers you an easy barrier free route.
As services for corporations, it offers Terminal ekipedia MAP and Route map, including subway stations. These are for profit.",5
88,2,1.0,1,"Helpers and people who go out with baby carriage and wheelchair are pleased.
Web service using ""API"", offered by Ekipedia
The service will start in May 2014!
API allows you to put ""Ekipedia MAP"" in your website and blog easily.
You can use ""Ekipedia MAP"" for free, as a route guide to the nearest station for your destination. It offers you an easy barrier free route.
As services for corporate users, it offers Terminal ekipedia MAP and Route map, including subway stations. These are for profit.","Helpers and people who go out with baby carriage and wheelchair are pleased.
Web service using ""API"", offered by Ekipedia
will start in May 2014!
API allows you to put ""Ekipedia MAP"" in your website and blog easily.
You can use ""Ekipedia MAP"" for free, as a route guide to the nearest station for your destination. It offers you an easy barrier free route.
As services for corporations, it offers Terminal ekipedia MAP and Route map, including subway stations. These are for profit.",2
88,2,1.0,1,"We received an inquiry about AAA camera from one of our customers. I tried it with an old camera definition, we got an image which seemed to be MJPEG. However, I couldn't get an image of H264. Is it possible to record it  in H264 format?
Is it also possible to record with making its external input as a trigger?
(I want to record only during the external power on)
Recently I have received a lot of inquirys asking if BBB camera is available. What about that?
I hope you will take good care of this. Thank you.","I received an inquiry about AAA camera from one of our customers. I tried it with an old camera definition, we got an image which seemed to be MJPEG. However, I couldn't get an image of H264. Is it possible to record with it by H264?
Is it also possible to record with making its external input as a trigger?
(I want to record only during the external power on)
Recently I have received a lot of inquirys asking if BBB camera is available. What about that?
I hope you will take good care of this. Thank you.",3
88,2,1.0,1,"<It was a productive day> 

I joined the English tour with my friend. All the towns visited were lovelier than I expected. We didn't have enough time so we did sightseeing during the free time in a big hurry. It is a shame that we had to hurry, but it was a productive day because we could visit as many as three places in one day. If we could stay longer, we'd like to spend a day in Windsor and a day in Bath in a relaxed way.","<It was a productive day> 

I joined the English tour with friend. All the towns were more lovely than I expected. We didn't have enough time so we did sightseeting during the free time in a big hurry. It is shame that we had to hurry, but it was a productive day because we could visit as many as three places. If we could stay longer, we'd like to spend a day in Windsor and a day in Bath in a relaxed way.",6
118,2,2.0,0,"Cheeky Parade ROAD TO NY ~ Let's Enjoy Together with Chikipa 2 ~([Kanagawa] LaLaport Yokohama)  

Cheeky Parade ROAD TO NY ~ Let's Enjoy Together with Chikipa 2 ~([Kanagawa] LaLaport Yokohama) Mini Live and Handshake Meeting will be held! 
[Kanagawa] LaLaport Yokohama 1F Central Garden 
«Part 1» 13:00 Start 
«Part 2» 16:00 Start","Cheeky Parade ROAD TO NY ~ Let's Enjoy Together with Chikipa 2 ~([Kanagawa] LaLaport Yokohama)  

Cheeky Parade ROAD TO NY ~ Let's Enjoy Together with Chikipa 2 ~([Kanagawa] LaLaport Yokohama) Mini Live and Handshake Meeting will be held! 
[Kanagawa] LaLaport Yokohama 1F Central Garden 
«Part 1» 13:00 Start 
«Part 2» 16:00 Start",0
122,2,1.0,0,"
★ Kana indicating the pronunciation of kanji 
Watanabe Asami 
★ Height 
156.5cm 
★ Date of Birth 
Sep 27, 1994
★ Birthplace 
Tochigi Prefecture 
★ Nickname 
Asamin 
★ Blood type 
O
★ Hobby 
People-watching and shopping 
★ Special ability 
Dancing
★ Favorite artists and talents 
Momoiro Clover Z, Ebisu Private Junior High School and Maekawa Hiroki","
★ Kana indicating the pronunciation of kanji 
Watanabe Asami 
★ Height 
156.5cm 
★ Date of Birth 
Sep 27, 1994
★ Birthplace 
Tochigi Prefecture 
★ Nickname 
Asamin 
★ Blood type 
O
★ Hobby 
People-watching and shopping 
★ Special ability 
Dancing
★ Favorite artists and talents 
Momoiro Clover Z, Ebisu Private Junior High School and Maekawa Hiroki",0
108,2,2.0,0,Request to those who support U-KISS,Request to those who support U-KISS,0
108,2,2.0,0,"This is my personal review. 

[Exterior] Personally I think the spindle grille is well matched in the best balance. It is moderately aggressive yet not too much, and looks high-class, which I like. 

[Interior] As of the quality and sophistication, I think it is in over two ranks higher than new IS and new CROWN, and over one rank higher than other competitive cars. 

There is no shortage of torque, acceleration performance, and driving performance. 

I think it is really well-balanced good car.","This is my personal review. 

[Exterior] Personally I think the spindle grille is well matched in the best balance. It is moderately aggressive yet not too much, and looks high-class, which I like. 

[Interior] As of the quality and sophistication, I think it is in over two ranks higher than new IS and new CROWN, and over one rank higher than other competitive cars. 

There is no shortage of torque, acceleration performance, and driving performance. 

I think it is really well-balanced good car.",0
108,2,1.0,1,Both Old-type HVs and gasoline vehicles need the complete improvement of their power units,Old-type HVs and gasoline vehicles need the complete improvement of their power units,1
108,2,1.0,1,"I hear C-Class that is coming soon in Japan is just like S-Class. I think it will not lose even if the direction is completely different. 

There would be no complaint about the navigation where the latest map data will be downloaded if the goal is set. 

The test car is equipped with an exclusive red seat and are very comfortable.

The rear side airbags were optional, which was a big minus point. The radar safety (in Mercedes term) is also optional, but I think it should have the standard equipment, given its price.","I hear C-Class that is coming soon in Japan is just like S-Class. I think it will not lose even if the direction is completely different. 

If the goal is set, there would be no complaint about the navigation where the latest map data will be downloaded. 

The test car is equipped with an exclusive red seat and has good holdness. 

The rear side airbags were optional, which was a big minus point. The radar safety of Mercedes is also optional, but I think it should have the standard equipment, given its price.",5
108,2,2.0,1,"Fuel consumption of 22Km/L in JCO8 mode is 15Km/L at most in the actual consumption. The fastest speed of JCO8 is 80KPH, so it is even worse on highways.. 

Those who buy hybrid cars think it is fuel efficient even on highways. However, for a TOYOTA hybrid car, the systems including battery is only the dead weight at high speed, and its fuel efficiency is not so good as a normal gasoline car. So it cannot be comparable to the turbo diesel with all-purpose from low speed to big torque.","Fuel consumption of 22Km/L in JCO8 mode is 15Km/L at most in the actual consumption. The fastest speed of JCO8 is 80Km/L, so it is even worse on highways.. 

Those who buy hybrid cars think it is fuel efficient even on highways. However, for a TOYOTA hybrid car, the systems including battery is only the dead weight at high speed, and its fuel efficiency is not so good as a normal gasoline car. So it cannot be comparable to the turbo diesel with all-purpose from low speed to big torque.",1
108,2,2.0,0,"As long as I see the IS, however, I do not think TOYOTA is serious about Lexus, or making things seriously. 

The acceleration performance of this 300h is slower than IS250 that I had test drive, and their fuel consumptions at high speed are similar. It is a needless model. 

The reason why 300h was absolutely necessary is that the two gasoline cars; 250 and 350 are gas-guzzlers, and they are not qualified for the tax  reduction program.  

Even 250 is 11.6 KPL at JCO8 mode, which is too bad.","As long as I see the IS, however, I do not think TOYOTA is serious about Lexus, or making things seriously. 

The acceleration performance of this 300h is slower than IS250 that I had test drive, and their fuel consumptions at high speed are similar. It is a needless model. 

The reason why 300h was absolutely necessary is that the two gasoline cars; 250 and 350 are gas-guzzlers, and they are not qualified for the tax  reduction program.  

Even 250 is 11.6 KPL at JCO8 mode, which is too bad.",0
108,2,2.0,0,"The balloon on the left shows the received message and my reply message is displayed in a green balloon on the upper right. 

I can receive and send PC mails (such as @ i.softbank.jp) in the same way as a mobile phone. 

I can also receive and send OCN (ocn.ne.jp), Yahoo mail (yahoo.co.jp), etc. 



That's all my review. I think I am very satisfied with what I bought. I hope my review will help you...","The balloon on the left shows the received message and my reply message is displayed in a green balloon on the upper right. 

I can receive and send PC mails (such as @ i.softbank.jp) in the same way as a mobile phone. 

I can also receive and send OCN (ocn.ne.jp), Yahoo mail (yahoo.co.jp), etc. 



That's all my review. I think I am very satisfied with what I bought. I hope my review will help you...",0
229,2,1.0,1,"37th single ""Love Is In The Air""


AAA's summer anthem to be released during their nationwide tour for 150,000 fans!

 ■ Title: ""Love Is In The Air""
 ■ Release Date: June 26, 2013
 ■ First Press Limited Benefits (Common with two types): Trading card (random one of all eight)
* [Music card] is excluded.


 ★ ITOYOKADO original benefits: Original Trading Card (one)
 * The picture is different from the one of the trading card included in the product.","37th single ""Love Is In The Air""


AAA's summer anthem that will be released during their nationwide tour for 150,000 fans!

 ■ Title: ""Love Is In The Air""
 ■ Release Date: June 26, 2013
 ■ First Press Limited Benefits (Common with two types): Trading card (random one of all eight)
* [Music card] is excluded.


 ★ ITOYOKADO original benefits: Original Trading Card (one)
 * The picture is different from the one of the trading card included in the product.",1
229,2,1.0,1,"*The reservation and purchase are at the the cash register of yukata selling space of each ITOYOKADO shop.
*Please note you can reserve only [CD] AVCD-48733 1,260yen (tax included) (Jacket B).

★AAA Party members can get ""The Other jacket"" (member's solo cut)!
If you are a member of AAA party and reserve one of three types including mu-mo shop Limited Edition (except for the [music card]), you can get a limited gift ♪","*The reservation and purchase are at the the cash register of yukata selling space of each ITOYOKADO shop.
*You can reserve only [CD] AVCD-48733 1,260yen (tax included) (Jacket B). Please note.

★AAA Party members can get ""The Other jacket"" (member's solo cut)!
If you are a member of AAA party and reserve one of three types including mu-mo shop Limited Edition (except for the [music card]), you can get a limited gift ♪",2
229,2,0.0,1,"The long awaited 1st single in the scene is both A-side single of ""AIBURUMU"", whose sound producer is UTA (TinyVoice, Production),
riding the bright disco truck with playfulness, and ""RULE"", the contrasting song expressing stoicism with HIP HOP track!

 ■ Title: ""AIBURUMU / RULE""
 ■ Release Date: August 7, 2013

 [CD shop first-come benefit information] *The number of benefits is limited. Please note it will end as soon as the stock runs out. ","Their 1st single waited for by the scene is both A-side single of ""AIBURUMU"", whose sound producer is UTA (TinyVoice, Production),
riding the bright disco truck with playfulness, and ""RULE"", the contrastive song expressing stoicism with HIP HOP truck!

 ■ Title: ""AIBURUMU / RULE""
 ■ Release Date: August 7, 2013

 [CD shop first-come benefit information] *The number of benefits is limited. It will end as soon as the stock runs out. Please note.",6
229,2,1.0,1,"8th original album ""Eighth Wonder""

The long-awaited original album that complies the national tour for 150 000 fans being held in the same title!
New door will be opened by AAA that has commemorated its eighth anniversary of the debut.

 [CD-Disc1]
Full of hit singles!
Newly recorded ""I KNOW, YOU KNOW"" is also worth listening!","8th original album ""Eighth Wonder""

The long-awaited original album that complies the national tour for 150 000 fans being held in the same title!
New door will be opened by AAA that has commemorated its eighth anniversary of the debut.

 [CD-Disc1]
Full of fit singles!
Newly recorded ""I KNOW, YOU KNOW"" is also worth listening!",1
229,2,0.0,1,"*If you make a payment at a convenience store by 23:50 on Jan 15 2014 (Wed) and join AAA Party, you can purchase AAA Party limited edition with a special benefit.
*However, the reservation will be finished as soon as the benefit in stock runs out.

 AAA Party Official Shop is here ♪ (PC / mobile common)
 http://shop.mu-mo.net/st/fc/APY.html

 ★ mu-mo shop original reward ★
 □ Original Live photographs (seven pieces)","*If you make a payment by the convenience store payment by 23:50 on Jan 15 2014 (Wed) and join AAA Party, you can purchase AAA Party limited edition with special benefit.
*However, the reservation will be finished as soon as the benefit in stock runs out.

 AAA Party Official Shop is here ♪ (PC / mobile common)
 http://shop.mu-mo.net/st/fc/APY.html

 ★ mu-mo shop original award ★
 □ Original Live photograph (seven pieces)",5
229,2,0.0,0,"Until 23:59 on  Jan 21, 2014 (Tue) at the longest
*However, the reservation will be finished as soon as the benefit in stock runs out.

 mu-mo shop is here ♪ (PC / mobile common)
 http://shop.mu-mo.net/a/list1/?artist_id=AAAXX
 --------------------

 ★ SEVENNETSHOPPING original benefit ★
 □ Original post card (picture A)","Until 23:59 on  Jan 21, 2014 (Tue) at the longest
*However, the reservation will be finished as soon as the benefit in stock runs out.

 mu-mo shop is here ♪ (PC / mobile common)
 http://shop.mu-mo.net/a/list1/?artist_id=AAAXX
 --------------------

 ★ SEVENNETSHOPPING original benefit ★
 □ Original post card (picture A)",0
229,2,1.0,0,"SEVENNETSHOPPING is here ♪
 <DVD>
 ■ AVBD-92076 AAA / AAA TOUR 2013 Eighth Wonder <Special BOX version with Limited photo book>
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589426

 ■ AVBD-92080 AAA / AAA TOUR 2013 Eighth Wonder","SEVENNETSHOPPING is here ♪
 <DVD>
 ■ AVBD-92076 AAA / AAA TOUR 2013 Eighth Wonder <Special BOX version with Limited photo book>
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589426

 ■ AVBD-92080 AAA / AAA TOUR 2013 Eighth Wonder",0
229,2,1.0,0,"--> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589427
 <Blu-ray>
 ■ AVXD-92074 AAA / AAA TOUR 2013 Eighth Wonder <Special BOX edition with Limited photo book> (Blu-ray Disc)
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589428","--> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589427
 <Blu-ray>
 ■ AVXD-92074 AAA / AAA TOUR 2013 Eighth Wonder <Special BOX edition with Limited photo book> (Blu-ray Disc)
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589428",0
229,2,1.0,0,"■ AVXD-92078 AAA / AAA TOUR 2013 Eighth Wonder (Blu-ray Disc)
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589432

 --------------------
 ★ SHINSEIDO / WonderGOO common original benefit ★
 □ Original post card (picture B)","■ AVXD-92078 AAA / AAA TOUR 2013 Eighth Wonder (Blu-ray Disc)
 --> http: //www.7netshopping.jp/dvd/detail/-/accd/1400589432

 --------------------
 ★ SHINSEIDO / WonderGOO common original benefit ★
 □ Original post card (picture B)",0
