file,mu0,gamma0,beta0,eta0
PG4-20171210172057.pkl,3.05076219485,1.86208140457,28.7594225768,21.6700146675
PG4-20171210172209.pkl,1.43717291551,2.45971983356,58.4232602794,92.835256072
PG4-20171210172355.pkl,0.764064727336,1.03602273975,83.3082159322,1.20482362954
PG4-20171210172545.pkl,0.834908042804,3.41333165972,3.92655140853,59.2363506017
PG4-20171210172652.pkl,3.76347010415,1.94012396696,32.1897877236,26.568395478
PG4-20171210172852.pkl,1.22837211137,1.39741386834,69.0686925086,96.185447809
PG4-20171210173026.pkl,0.684992645957,4.9136822868,57.5517241686,85.5145611161
PG4-20171210173215.pkl,0.648385358935,0.700588446796,24.0050744226,48.1846344984
PG4-20171210173418.pkl,0.314100168197,3.03276035127,64.3512442961,87.7505598366
PG4-20171210173532.pkl,2.71137355514,2.42640696784,10.4705664797,64.5003721524
PG4-20171210173636.pkl,2.61982356222,1.64760552629,78.551304973,7.88562862171
PG4-20171210173823.pkl,0.408273281439,2.07986072373,5.32857608543,34.7525193293
PG4-20171210174014.pkl,2.5299783913,0.032715598015,36.1292988119,54.6440281996
PG4-20171210174204.pkl,0.466151522374,4.72880385117,65.7205583344,58.4060018013
PG4-20171210174358.pkl,2.57241718718,0.653201761311,68.3230333483,93.5443394737
PG4-20171210174545.pkl,0.514192422564,0.321677592322,75.0864008229,30.2060411538
PG4-20171210174657.pkl,2.87999310703,3.12215593576,92.9186293738,33.6259678244
PG4-20171210174815.pkl,2.46108721978,3.38596847895,62.9075853337,74.4713512716
PG4-20171210174958.pkl,0.452092184189,4.77773621245,89.7900832281,34.7191829316
PG4-20171210175225.pkl,0.641928621939,4.4851419123,13.1336449734,14.1614278723
PG4-20171210175456.pkl,2.6607746365,1.41412327996,86.5560780304,14.9982484634
PG4-20171210180357.pkl,2.86440248398,1.03818512822,27.0887524693,99.3811058218
PG4-20171210180508.pkl,3.80029508859,4.59885230636,69.7065796671,29.4973160846
PG4-20171210180610.pkl,1.67811317166,4.12758169355,36.129438681,2.68229310519
PG4-20171210180722.pkl,3.99447656355,3.93491837702,29.3264758874,35.9426811264
PG4-20171210181132.pkl,1.12709066633,2.04954151957,40.6262555739,29.7727164543
PG4-20171210181312.pkl,0.827800678753,2.32933687168,9.00672615254,3.61357568812
PG4-20171210181427.pkl,2.50444839381,4.19463600458,4.06024269437,76.0599570628
PG4-20171210181615.pkl,0.243589209796,2.82197799705,46.9138955809,15.2886180865
PG4-20171210181726.pkl,1.15238739368,3.38119729071,40.2497068655,96.8636652269
PG4-20171210181829.pkl,1.38935780492,3.82808612282,94.1110175749,10.7093851399
PG4-20171210181932.pkl,2.1475073582,1.90263839985,90.1506778368,34.7411696687
PG4-20171210182036.pkl,2.83396009059,1.73504131121,31.6344842157,24.6108825944
PG4-20171210182140.pkl,1.2666682952,4.63700082973,22.8863904027,23.4364245368
PG4-20171210182254.pkl,1.75851592514,3.89784401773,61.0434909854,78.6899365865
PG4-20171210182404.pkl,3.41718408201,2.85935971306,59.1432932053,42.4700516047
PG4-20171210183102.pkl,2.98165291688,0.636684986294,18.8197919556,86.8892811809
PG4-20171210183444.pkl,1.3562919743,1.73275687731,32.1761369523,70.7121786436
PG4-20171210183630.pkl,0.164382050399,0.120821815701,27.4197499538,31.8474552921
PG4-20171210184228.pkl,1.49676328918,1.40656975629,54.2915516487,67.9264962736
PG4-20171210184434.pkl,3.73198082501,1.03012110839,40.1543642054,28.1293754541
PG4-20171210184547.pkl,3.35357191195,2.58874255767,8.46879822303,72.0856234529
PG4-20171210184659.pkl,1.53632849655,3.25038070982,48.4289892402,85.7247658966
PG4-20171210184844.pkl,0.742196854421,1.62766937362,8.44880824799,36.5951775046
PG4-20171210184954.pkl,2.49120274153,4.77970985081,48.0415003563,41.0549260005
PG4-20171210185148.pkl,0.586525414087,2.92636541825,89.6278825998,83.6678101048
PG4-20171210185300.pkl,2.42217867427,3.96152871656,50.4523050344,51.5577136483
PG4-20171210185551.pkl,2.32973356864,0.838967433639,62.4536046976,12.1069977521
PG4-20171210185730.pkl,0.662168470186,4.95440937175,82.5702242435,10.8501684334
PG4-20171210185915.pkl,3.45222437242,0.379236138862,13.5319114335,33.861681819
PG4-20171210190020.pkl,1.93948015461,4.85245640071,2.51895393261,20.8230715731
PG4-20171210190207.pkl,0.153902545968,0.356894599296,9.00149309124,41.7130971901
PG4-20171210190310.pkl,3.09138784957,1.07664120685,8.91593390478,45.6988119559
PG4-20171210190511.pkl,0.486337622488,0.449081751238,84.0255543817,86.9907372559
PG4-20171210190611.pkl,3.80175371127,0.884353120538,41.3519543734,24.7050832199
PG4-20171210190827.pkl,1.13058715296,1.84304069996,45.4942886296,87.8139414663
PG4-20171210190935.pkl,2.97068722464,3.68014718168,34.5766125776,36.9171811394
PG4-20171210191043.pkl,1.59729386568,2.42756858872,24.9957025863,81.2750581662
PG4-20171210191152.pkl,1.74705705884,1.95059377278,35.4994093739,62.7685403953
PG4-20171210191253.pkl,2.34267100408,2.87283558175,1.54974382818,11.9049354355
PG4-20171210191438.pkl,0.25291710998,1.23215563047,63.5751435067,13.8769703081
PG4-20171210191545.pkl,2.08698486688,2.42539920562,16.0498290755,44.7799805573
PG4-20171210191654.pkl,2.93363003655,4.78180266796,8.67740829436,31.1981089266
PG4-20171210191840.pkl,0.595315733302,2.05520043002,74.4899204746,38.294079411
PG4-20171210192028.pkl,0.696184973635,1.89128090346,41.1646426148,52.4707265766
PG4-20171210192138.pkl,3.93180745647,2.47599893719,81.135500749,55.9247874901
PG4-20171210192239.pkl,1.93448782333,1.89634341711,77.3755348109,17.0396498434
PG4-20171210192513.pkl,0.875240034004,1.38360142424,64.6263128616,88.1834985119
PG4-20171210192712.pkl,0.101597521218,0.376014507951,83.1626817322,82.9655536534
PG4-20171210192826.pkl,3.59574417727,4.4340988356,66.9038789889,74.1157548866
PG4-20171210192932.pkl,2.25220242241,4.81338406874,93.5436790002,13.9673892715
PG4-20171210193036.pkl,1.55583917085,2.52013932733,11.3772744181,38.6592550509
PG4-20171210193346.pkl,1.45954885071,1.56263266887,32.0238011778,50.4625815663
PG4-20171210193452.pkl,3.76054458197,3.09067704435,50.0279013764,20.2541032934
PG4-20171210193555.pkl,0.710731530573,4.7977354903,68.0044188342,35.5999623931
PG4-20171210193702.pkl,2.94505083873,1.0900182939,5.35270339865,60.8805937193
PG4-20171210193811.pkl,3.42502282396,2.10586376561,41.1116793872,48.1122755165
PG4-20171210193918.pkl,1.21170211738,3.21537798913,84.9581887305,71.1465462559
PG4-20171210194406.pkl,2.50751752364,1.04443981002,98.8592824055,34.6634480249
