file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PCG5a-20180109081833.pkl,2.79468863624,2.54324217304,82.8009160541,93.8281432881,54.1140100187,97.4029698271,7.57103698844
PCG5a-20180109082113.pkl,0.663795101694,7.0072969365,4.21720577494,56.201698996,13.9875293382,67.7347416728,6.80177784312
PCG5a-20180109082536.pkl,1.55231815792,8.06917028567,20.3395816843,9.05034351241,22.1679857305,78.4444059422,6.03555077237
PCG5a-20180109084106.pkl,3.08281185066,8.1369111971,61.5523202277,74.0115905924,33.3128627271,45.2329066854,1.21905446348
PCG5a-20180109085607.pkl,0.336808094011,6.61003876306,54.1853813533,33.1737892439,40.3976759157,24.0808846825,5.95353680232
PCG5a-20180109095605.pkl,2.51507330413,1.60553181139,68.7633993675,74.70861151,98.4002168155,15.2626340693,4.64908246083
PCG5a-20180109095830.pkl,2.70431805782,4.62378198382,2.77175714406,82.8016979082,31.8989224652,44.1915127656,3.68859771274
PCG5a-20180109120333.pkl,3.07891548612,1.00437735629,73.8776318315,80.6920729782,57.1643807214,80.8218671063,0.265529563273
PCG5a-20180109121747.pkl,0.677557563525,3.64593398673,36.6421703323,90.7119564396,7.20799450717,84.9010788448,5.19529994271
PCG5a-20180109123323.pkl,3.3755611604,7.06599569794,65.9104364266,71.5050169797,2.2978275614,95.5150188614,5.91339213726
PCG5a-20180109130905.pkl,0.739393497273,4.11819635554,79.2347423392,45.583454887,57.5777584943,56.8354629543,9.64620122091
PCG5a-20180109141535.pkl,1.2836925035,0.0597641133047,20.7798159307,55.1059402118,21.7342014431,44.3026291774,2.63219555611
PCG5a-20180109143301.pkl,3.65560626654,6.07871372723,65.8649732284,64.6910488486,7.63749043597,76.9636786418,2.09125817399
PCG5a-20180109144906.pkl,1.95402911172,5.3743362225,31.0770935882,28.2907672531,77.0605609653,81.0160885096,0.531074959048
PCG5a-20180109154706.pkl,3.09251346269,2.41797342282,95.5199919576,52.8036515749,77.7256051112,75.3613826754,5.79135094441
PCG5a-20180109155534.pkl,2.12872871476,6.13085682621,30.765135252,46.6489315172,42.4552485888,58.3688200004,6.78684175505
PCG5a-20180109170007.pkl,0.8897177752,1.52832735397,61.4335605629,50.7842113084,82.4585967245,40.4261861671,4.5395909386
PCG5a-20180109170221.pkl,3.29576760646,8.99026046743,6.53204944656,59.9309113352,29.938502679,31.6960745675,1.51316589496
PCG5a-20180109172012.pkl,3.65612924004,1.35685510556,21.9588484408,38.4643935572,16.474368512,49.1815139901,6.26395126675
PCG5a-20180109182412.pkl,3.85171256742,0.582648993048,30.2945571907,32.0261686636,39.3915278231,54.8777640374,2.43355312243
PCG5a-20180109184119.pkl,3.35740940374,5.40073318546,62.3923477244,87.5945400781,72.4098243343,2.1008697843,1.06755337575
PCG5a-20180109185755.pkl,1.95895046899,7.87060678745,82.1615811115,67.6064646984,97.1351623111,88.273036423,9.06718628992
PCG5a-20180109191501.pkl,0.38088111824,8.94279971547,95.248384547,69.0497566364,49.0395329233,24.2752297876,4.34421142166
PCG5a-20180109192316.pkl,2.23947564569,3.1786648461,14.0062967338,33.0520256977,57.3288921254,61.6457206715,0.721773771594
PCG5a-20180109212810.pkl,3.05924021822,1.12130480774,98.4988565988,31.5917607742,14.2997927149,28.9266458092,5.88931443165
PCG5a-20180109213239.pkl,0.724300940027,6.24899750714,11.6022685691,84.3383023244,37.8939615173,17.1765340486,3.15485483325
PCG5a-20180109214050.pkl,1.51211275683,3.82240412775,16.0522037116,19.1455632287,74.9924554858,84.3504001274,9.74188303194
PCG5a-20180109215750.pkl,3.65093860817,4.8657173364,46.2324194554,1.52108759079,35.6544254504,93.024607445,6.5471555386
PCG5a-20180109223149.pkl,1.01657937513,2.73929686364,54.910110312,54.9046131827,64.8614466304,78.365171337,1.32411653145
PCG5a-20180109224752.pkl,3.53697332058,6.06803481949,62.339749497,22.1448807665,25.2377105522,58.9077878913,3.73589390668
PCG5a-20180109225453.pkl,2.74413369788,9.81031597611,42.3749741494,60.5080566749,53.9161953892,78.004888155,8.50062017858
PCG5a-20180109230656.pkl,1.96262822313,8.21520714424,49.2344196924,3.81545576056,47.389609342,52.5917542423,7.66606249708
PCG5a-20180109231456.pkl,0.674698741479,6.3354595439,29.9130435853,5.78520230332,33.7496542028,48.8491936291,8.69278515359
PCG5a-20180109233142.pkl,1.20431552373,9.07210847493,97.3870101066,18.4296649895,68.029634054,28.1501094646,9.27049520974
PCG5a-20180110000246.pkl,0.285238003441,4.00412565571,66.243471978,16.1550952394,3.65276723629,22.1519452395,7.45612679851
PCG5a-20180110001957.pkl,2.84391186315,6.14539060402,64.8389163318,94.7229177972,5.10556237188,11.2085877463,2.43102496107
PCG5a-20180110003709.pkl,2.64376616741,6.8075925027,69.7603792024,89.0830612438,33.9093768617,4.99432405183,0.384905371189
PCG5a-20180110005512.pkl,3.82508232855,0.274273049082,6.30838531572,96.4698255998,29.8314779877,87.4628189205,0.649902737862
PCG5a-20180110010938.pkl,2.2368035534,4.49474119875,57.5576295412,76.7651906238,9.65078750017,25.085965151,7.16070681868
PCG5a-20180110014056.pkl,2.4937256257,5.06288404659,90.9241743105,33.0178707924,95.2593618502,6.80823305594,4.68782790156
PCG5a-20180110014547.pkl,0.0414507364324,9.98727516032,24.0937739555,86.7203718742,47.3862608273,33.8684640515,0.947965262125
PCG5a-20180110014820.pkl,0.0995456547438,3.36908437597,2.32850101357,28.2175758905,99.1935162084,94.2091488506,3.63872187728
PCG5a-20180110022215.pkl,3.96107851619,3.34229178194,88.7827548275,25.7665440675,92.8395360559,85.8801755912,8.29328871687
PCG5a-20180110023924.pkl,0.317951639754,2.42272222419,24.7750979988,67.8268643156,91.0072286245,11.9439108727,2.29988395097
PCG5a-20180110030814.pkl,0.652617842406,7.13938733557,85.9889108012,92.4720774974,5.4014181457,59.8405604658,0.514056870901
PCG5a-20180110044505.pkl,1.7653355727,0.504032671564,59.7269414716,53.2104931724,1.6117673928,67.529464763,4.94523370725
PCG5a-20180110050824.pkl,1.99870332251,5.22057092648,7.74559176963,77.2277777988,57.6509177919,6.64964363111,5.37971624768
PCG5a-20180110070330.pkl,2.66119163644,0.27698105053,99.0803051023,23.3664899519,74.3468823101,48.609481041,9.49086137466
PCG5a-20180110072056.pkl,3.95183700397,4.61804813333,66.1159461318,32.4347650716,59.8536307258,8.4660790722,5.494625358
PCG5a-20180110074926.pkl,3.15259559465,2.3783868429,42.4648237828,81.6308211718,43.670589686,18.3075658564,3.37491265716
PCG5a-20180110082154.pkl,3.69768448256,6.93871495551,87.7135396308,64.2096629971,84.4541409455,57.755492948,2.65706100427
PCG5a-20180110083905.pkl,1.19892580944,6.71871870598,89.9849058236,98.4305945092,99.0259788953,93.938216121,6.77736345172
PCG5a-20180110093822.pkl,0.0861225826408,1.92172519349,92.8383812018,23.8704544835,22.1063289983,53.0395906128,7.18291378163
PCG5a-20180110094033.pkl,1.98795236523,9.92828811575,9.41286101514,20.9560320617,78.8653310462,2.24146812246,0.91883086104
PCG5a-20180110094859.pkl,1.87830220101,1.6232792251,11.7082073978,81.6441434864,1.49574850853,87.411918565,3.69273420003
PCG5a-20180110095731.pkl,3.16524046904,3.63102139205,20.5853102946,19.7981915459,72.6348561774,80.6979723749,8.48326356775
PCG5a-20180110100556.pkl,0.648558481793,7.03016039285,28.0044044606,74.0066567797,74.0842914979,49.9818867489,0.748451083087
PCG5a-20180110105702.pkl,2.35987847494,0.955099445405,48.4868248204,3.82075241439,85.7131447045,18.9203557017,6.33768977858
PCG5a-20180110105948.pkl,3.32937517671,8.08311997973,1.57086252553,37.7764250026,49.0136665095,19.0395912127,6.06710066242
PCG5a-20180110111555.pkl,0.382681276033,6.25867973706,40.4675710594,96.8309595833,64.6583126635,77.6644187261,2.18332667864
PCG5a-20180110122144.pkl,2.78410804162,2.39660191754,77.3290920197,34.8992011204,74.9041758407,88.4694189327,1.68196170449
PCG5a-20180110122548.pkl,1.3312567915,7.36981963035,15.70403015,57.9935654912,8.36706227571,29.4627150202,1.9543392194
PCG5a-20180110122914.pkl,3.98456482908,7.8330351721,8.81455836349,10.9221032439,2.81530217605,76.1854103938,8.66743196472
PCG5a-20180110123636.pkl,0.694610565401,4.00523601075,18.4677512806,40.7357190562,97.8440721768,78.9810761348,7.63920116612
PCG5a-20180110130604.pkl,3.12997191921,1.82460023398,61.646380771,81.7143534025,17.37479042,86.5069259268,5.76448595383
PCG5a-20180110131401.pkl,2.10384218677,8.8589640611,57.8831582185,88.3771901636,65.2604578639,7.71491437354,8.48170825063
PCG5a-20180110133125.pkl,1.90616154325,7.22012805982,53.4166334448,95.5261832936,89.8419294003,59.1103393803,6.42810927547
PCG5a-20180110133608.pkl,2.24069351279,3.16902895923,13.1331142728,95.2585527596,31.6469465631,39.2000120499,9.74482164655
PCG5a-20180110144029.pkl,1.37142133059,2.15873619241,89.6566078435,30.9738136961,1.38313176084,51.7024810452,3.27731784286
PCG5a-20180110145708.pkl,3.05791933216,6.72153645602,71.5619251951,43.7351805536,8.12352501834,47.4932747244,9.69013385294
PCG5a-20180110154258.pkl,0.852834676997,0.617272050281,38.3724685847,47.2281973426,6.02584508199,59.3620095188,9.41955216398
PCG5a-20180110155336.pkl,2.94980227449,8.02239371169,27.3209100549,22.5029301988,77.8347790272,43.513607626,6.65914759926
PCG5a-20180110155816.pkl,0.438303385362,8.64096431857,15.4919952789,38.2431604692,23.1293440608,70.0715638882,3.98004663758
PCG5a-20180110163320.pkl,3.46197291355,1.09517562887,29.8534183044,78.6454043888,34.7317718031,29.145377818,0.804970705281
PCG5a-20180110164849.pkl,2.16568514727,8.62715965409,93.8487246604,11.7933080986,4.02820163377,17.609649777,4.84567062754
PCG5a-20180110174535.pkl,3.80284500091,1.94848199784,67.277135569,26.8152938867,21.9928568248,71.8659974327,2.14290378349
PCG5a-20180110180211.pkl,3.66756507673,2.89664227734,43.7575020148,82.7287213211,1.28969957528,14.2952957856,8.76181389962
PCG5a-20180110180855.pkl,3.6788970408,9.75443145699,40.6520317083,94.1851119298,14.1685780057,55.5901882472,9.55444309293
PCG5a-20180110181628.pkl,1.03486399077,5.96615705748,49.2194183938,78.7042615151,77.1835875613,84.5408939913,9.65512901631
PCG5a-20180110190551.pkl,3.32424598949,1.35487660329,68.9913120748,24.3726311705,9.55752502968,90.4396953537,9.50499141082
PCG5a-20180110191018.pkl,1.05118182492,8.99686733669,28.2162269043,66.4853477099,95.7284619476,17.240755164,8.83653707866
PCG5a-20180110204239.pkl,0.244288057942,5.99006115298,71.0777933822,4.53231697699,37.170047334,90.7080098096,9.63772813066
PCG5a-20180110205459.pkl,3.67209041224,7.45278698564,20.7694683358,99.1143224508,20.4616860027,31.6079308813,1.89025498325
PCG5a-20180110211152.pkl,3.52724325661,3.34103056089,18.4627121227,12.6268416206,67.1847240346,53.1153396546,8.58042279993
PCG5a-20180110212019.pkl,1.80969022375,5.13645259295,22.1092934981,23.1882426543,52.5749109509,38.1701909986,2.40398198098
PCG5a-20180110212505.pkl,1.20735748694,9.93207023322,25.1096091912,26.0447172188,23.0929778253,21.0183940447,3.94663522877
PCG5a-20180110214340.pkl,0.884039134726,0.938667680764,17.8661325784,81.1680724814,27.4102758735,32.3503901213,3.15809902061
PCG5a-20180110214906.pkl,1.2560747278,9.63252553195,9.03113382573,90.7103178878,54.7423277656,97.6983237689,7.0726820937
PCG5a-20180110215333.pkl,3.11892663897,3.85563762536,8.010586905,3.95304889683,75.3503100296,20.009490037,1.00427193081
PCG5a-20180110220202.pkl,0.122400412465,4.064039122,17.1486594369,57.6579213799,22.4743496236,41.3483783046,3.71118013635
PCG5a-20180110220902.pkl,2.66413244175,5.94313317862,34.8268600364,66.4424453213,52.674323307,55.5255565418,8.2726225632
PCG5a-20180110231139.pkl,3.72320017171,2.21284025579,91.9201752602,34.6340232768,73.1972436079,48.6229379873,0.137045536379
PCG5a-20180111001754.pkl,1.87751083904,1.59273742338,77.076054904,66.9286848939,57.4004995449,19.6700179684,6.39093871097
PCG5a-20180111003330.pkl,0.980684832296,6.34970624058,49.7361156057,61.0544210923,81.4378955602,3.21299822596,1.64856771892
PCG5a-20180111004748.pkl,2.08322252212,7.60886311425,87.6628468367,52.6201056779,38.4404144757,15.3118467343,2.98044983974
PCG5a-20180111015916.pkl,3.70629617279,0.763697865904,67.8523131786,67.1318882555,16.9352183469,96.189972713,8.63021537774
PCG5a-20180111020744.pkl,3.61268815825,8.84369337545,38.3388983766,4.52213772545,91.5793469575,8.02981721476,6.54489552746
PCG5a-20180111021028.pkl,0.149154205088,9.97431875411,5.36142893537,26.5245686059,20.123682305,36.272763181,9.54982319554
PCG5a-20180111024332.pkl,0.553577465797,4.93746437645,89.4655398203,48.2391689826,29.6569505004,96.5126767401,6.07771603676
PCG5a-20180111031650.pkl,3.07214358859,3.86282258064,70.4224333576,94.9520931465,72.9845745586,46.2021353064,5.0398859446
PCG5a-20180111033033.pkl,3.78253991846,3.50262016938,25.6110438933,80.9080770216,39.8202799402,51.5728397851,2.07285702436
PCG5a-20180111051926.pkl,2.48726046013,0.361058614439,54.2053139131,78.470370351,2.18724543142,35.8889474691,6.12459925283
PCG5a-20180111062503.pkl,0.232796576646,1.56338466498,71.974724958,54.3760838436,96.6901617773,73.6942350127,2.63712771953
PCG5a-20180111065316.pkl,3.2348193207,2.37826255113,42.4843474285,5.93377772191,42.7117992349,7.54221573829,0.285213980956
PCG5a-20180111070025.pkl,0.940797181793,9.57807356819,58.091824549,75.9347402126,59.6602136721,33.8415977241,8.79286491791
PCG5a-20180111085951.pkl,3.48862473785,7.67998576336,98.8566413602,17.9576914664,79.3266361973,43.4117721167,9.35539175449
PCG5a-20180111091614.pkl,1.66059565925,8.60100081744,75.9761609922,17.9149365092,38.5350877926,71.0056189038,9.00299645479
PCG5a-20180111092045.pkl,3.27166894908,5.60293584867,10.8355595158,99.6924605568,93.5912144967,74.3207783253,4.00903081779
PCG5a-20180111093728.pkl,1.8037763649,1.64830529142,22.3165230807,88.4455907003,98.8857443488,3.8087540783,6.76431073083
PCG5a-20180111095934.pkl,1.50972465488,3.66355704924,5.54146392416,6.51918876904,4.10894745963,71.0431903679,2.45632062481
PCG5a-20180111101324.pkl,1.79395175249,5.29769788301,56.8707756779,58.3113930525,50.570765215,79.388865176,6.27984586446
PCG5a-20180111111841.pkl,1.26241178375,7.14032818084,10.2752323199,87.1234221362,36.9742051881,21.890430294,2.16290586272
PCG5a-20180111121429.pkl,1.31165985415,0.529075109714,24.3480218401,46.3548844469,83.7315820374,96.8747810186,0.582338621791
PCG5a-20180111122807.pkl,1.9394900458,8.81981674503,64.3302328431,23.9886253669,11.9924524485,34.6523082458,7.8783982904
PCG5a-20180111124523.pkl,0.241695917596,3.33501238369,58.2248943798,25.3480945963,67.7766607228,2.6271555551,7.20130652864
PCG5a-20180111125217.pkl,1.52054581371,5.20487799312,8.74220424764,92.5986739242,17.5062186185,61.3203149767,7.40563071085
PCG5a-20180111130838.pkl,1.71598521141,6.77207562623,50.8791862992,30.306119377,2.66910854138,18.0500699699,5.87378208479
PCG5a-20180111133458.pkl,1.27796992957,2.82827116759,49.7486220989,34.2849851772,92.1664809469,26.9951483832,8.6230972348
PCG5a-20180111133854.pkl,3.2203517972,3.54542020142,11.4836598866,41.7543960237,98.0442577643,92.679947272,9.65736130061
PCG5a-20180111141209.pkl,3.5680913577,3.26799988807,64.7628615403,9.01630672902,69.0018474315,64.9036333612,7.55310716633
PCG5a-20180111142837.pkl,2.72125913922,4.48833327001,40.8816147291,68.1101952929,95.3504215278,7.72066401336,5.04511898514
