file,mu0,gamma0,alpha0,beta0,eta0,kappa0,kappa1
PG1PC1PC2-20180108230255.pkl,0.898754099546,11.5098109915,24.6623022084,54.84642795,11.1819405612,93.8754265041,57.5993249842
PG1PC1PC2-20180108230724.pkl,2.76420511233,11.4906323927,74.5554011688,74.893856862,3.6621291164,18.8950755347,55.3217004763
PG1PC1PC2-20180108231203.pkl,3.30999356574,23.0150950174,72.0404130159,89.0572807655,5.98252336674,61.813244209,28.1610529832
PG1PC1PC2-20180108231616.pkl,1.91782860654,13.4227227434,23.9568042264,52.052586961,7.50947316748,43.4983551415,6.80114585835
PG1PC1PC2-20180108232014.pkl,2.74723437696,11.5376180762,58.5786503593,6.01129986361,24.1147507411,92.5058457499,47.7767768766
PG1PC1PC2-20180108232434.pkl,1.27217788082,5.90404016593,19.5036071669,26.1779012537,6.7036499288,40.7726533476,64.0682218149
PG1PC1PC2-20180108232902.pkl,3.75940734953,26.62905052,61.2914785815,11.4122157001,3.43867519482,80.3858281029,38.8272193976
PG1PC1PC2-20180108233358.pkl,1.50163004026,24.1719360949,5.7019134575,76.8995154515,15.8457788193,88.4341932659,65.2154114918
PG1PC1PC2-20180108233841.pkl,3.24896701257,2.00715201485,4.56262815454,28.5593159027,12.1121478588,64.9610643877,16.014172068
PG1PC1PC2-20180108234307.pkl,1.86659083095,2.5531487329,25.7499023559,78.0803660879,4.8419544106,52.0636303021,1.86248460354
PG1PC1PC2-20180108234749.pkl,2.8840575614,11.3869688208,5.30392728567,47.114475834,1.26499944644,26.4701124886,89.4562503609
PG1PC1PC2-20180108235221.pkl,0.647219346458,10.3423645418,72.5401109177,56.677315834,22.8379761419,58.8341348379,17.6441409967
PG1PC1PC2-20180108235620.pkl,0.0540002717341,4.53880777711,59.7043954844,97.0478478812,5.25920798495,38.7251366215,84.0872776684
PG1PC1PC2-20180109000103.pkl,2.76754180061,1.27336832254,5.91538207355,32.8629216513,26.1777414626,13.0325825125,44.0914840801
PG1PC1PC2-20180109000514.pkl,0.842616040915,16.3948010188,25.1789723764,31.5617330428,13.2221942458,44.6555800811,42.8054064338
PG1PC1PC2-20180109000926.pkl,1.17686008764,2.65319411587,26.4186861251,54.7456410559,4.91905615078,3.93302563176,18.7025524812
PG1PC1PC2-20180109001341.pkl,0.0507439300364,2.61782234671,17.9385607107,1.94563993905,27.3636382349,62.8061433926,13.6690663343
PG1PC1PC2-20180109001815.pkl,1.36659965651,4.05857283493,16.7604943459,65.1713771638,2.34882631149,80.5733707438,64.1631517304
PG1PC1PC2-20180109002251.pkl,3.8482025252,19.7613933345,17.2826370041,18.2742183004,2.03289723942,13.545893165,47.8391960516
PG1PC1PC2-20180109002659.pkl,2.76260285454,4.4491175478,98.077429237,53.3439883873,0.494193223786,40.6046203455,34.1319979482
PG1PC1PC2-20180109003128.pkl,0.138791067166,8.139731967,20.0819090658,63.338570841,16.0363928983,84.5196085806,14.2183142534
PG1PC1PC2-20180109003552.pkl,3.88917132162,17.1982524337,65.5358922942,23.9739624766,15.3711507372,50.4672939761,12.5409978538
PG1PC1PC2-20180109004039.pkl,2.58390761745,14.7046806835,14.6424886264,33.1762399713,24.8859751629,35.4784272347,49.4438306816
PG1PC1PC2-20180109004512.pkl,2.50395938318,29.5048255845,32.7451682775,70.853008709,3.8974719529,74.422712535,75.2942541274
PG1PC1PC2-20180109004924.pkl,0.830796826338,6.93969897969,51.6694528184,87.1206752286,1.88458425019,43.6251263429,74.594542483
PG1PC1PC2-20180109005558.pkl,2.60070681076,13.8290992816,91.1325705305,2.32119352911,1.6478008359,12.094364981,15.2333613561
PG1PC1PC2-20180109010037.pkl,1.64277160179,0.918936122902,11.3651123773,80.3017773863,27.5189800138,95.9206438273,95.2872444279
PG1PC1PC2-20180109010535.pkl,2.18281435497,17.6013119698,34.5717196326,81.692523084,24.4017287242,94.666097011,17.281831481
PG1PC1PC2-20180109011003.pkl,0.357236360274,21.3992547804,53.3208015982,24.4570136636,29.729467863,19.3062303201,39.2902763755
PG1PC1PC2-20180109011409.pkl,3.34721496058,22.6867975118,79.7271372958,2.73212772612,16.6887454098,13.4556659613,84.0477869386
PG1PC1PC2-20180109011823.pkl,2.78382223496,11.1059243911,95.455520257,41.1266692942,15.0132304105,14.4050442344,30.4783115997
PG1PC1PC2-20180109012503.pkl,2.91859413864,17.0433247368,85.6841676258,1.93047510577,4.2664772708,91.6532540432,43.0134770654
PG1PC1PC2-20180109012947.pkl,3.50999289637,12.6028606579,2.54602906337,56.3513696632,19.4716509241,30.0329947972,42.70449207
PG1PC1PC2-20180109013355.pkl,0.65969982786,9.61638536276,82.824413,66.1284230366,19.2042681288,46.7823513061,91.7110342501
PG1PC1PC2-20180109013819.pkl,3.8512132183,2.97866066553,71.9379775126,65.7418494272,27.958597862,39.2653697528,29.3380733443
PG1PC1PC2-20180109014216.pkl,2.31169417368,20.9543788357,6.81674199691,23.077247215,17.8098956431,15.0113599385,58.3550114164
PG1PC1PC2-20180109014605.pkl,2.05922653537,20.3478251771,15.9190725366,56.0465494158,11.561671972,10.5671851852,65.88713547
PG1PC1PC2-20180109015008.pkl,1.87279682217,16.4938555914,15.7825016787,64.1671747651,19.6438979754,43.4483305836,70.3914775517
PG1PC1PC2-20180109015452.pkl,3.92643086392,21.2022491939,81.3496450412,94.5871857471,9.75210881229,34.229511221,87.754008565
PG1PC1PC2-20180109015949.pkl,2.88108198451,26.6613834726,34.2546487955,32.0332149374,13.1857780458,31.6129552679,71.0462983479
PG1PC1PC2-20180109020410.pkl,3.87128713526,6.31367268833,21.3026156994,24.2207595107,8.14967045428,47.3423983827,69.2941539572
PG1PC1PC2-20180109020758.pkl,1.7315850063,10.5634555236,81.4577666173,44.123522659,4.96051106369,68.0243034489,85.1333871502
PG1PC1PC2-20180109021216.pkl,0.0811340070729,0.803259681664,31.0637971077,6.25314628756,25.8021882891,90.9326109744,82.3042068577
PG1PC1PC2-20180109021618.pkl,1.44652470994,21.9328420303,59.814529195,17.608518658,8.51329933607,64.7489028333,74.7454558123
PG1PC1PC2-20180109022032.pkl,3.64857384602,6.44809372492,69.790752994,16.9940372691,23.269300257,88.1604956197,72.3799697819
PG1PC1PC2-20180109022509.pkl,0.455400568554,18.8196510706,75.3626080297,89.6507241904,18.0919728665,51.315542602,91.8821897838
PG1PC1PC2-20180109022940.pkl,0.0131020294266,19.2228631409,39.9552845366,33.569056916,26.7748786648,35.8199935753,13.303778209
PG1PC1PC2-20180109023437.pkl,3.85173038242,26.7587892757,18.0790350911,25.5003366724,12.9890128071,48.5191947203,1.21147040045
PG1PC1PC2-20180109023940.pkl,2.99613018846,25.9146102505,34.0984652923,17.2764269141,16.8553581569,49.5697539669,8.6777625864
PG1PC1PC2-20180109024426.pkl,3.14245121337,13.3273362432,21.7711505456,89.1361730701,23.6904994741,25.2897519868,33.2004122923
PG1PC1PC2-20180109024845.pkl,3.38051287237,8.80056704191,58.9188187524,16.8648383643,20.7350352394,22.1354450221,50.1383674804
PG1PC1PC2-20180109025322.pkl,0.384762792563,16.7591500012,24.0305692659,7.90163005219,28.7685331017,54.6966458479,29.0153086579
PG1PC1PC2-20180109025723.pkl,0.420684531807,25.7371046548,82.3596325911,22.2813823883,5.96483429441,17.3876919347,59.0851437694
PG1PC1PC2-20180109030109.pkl,3.25135269384,9.54669518005,51.5956769903,72.2201130742,16.0123724172,84.5766451242,97.3933754801
PG1PC1PC2-20180109030447.pkl,1.30121600339,8.77244235343,56.4990633393,58.4800917797,20.6843760155,42.9906177348,90.9517894769
PG1PC1PC2-20180109030933.pkl,3.94858667261,2.79897013849,35.7595882681,54.245027385,10.791760518,35.5357693515,70.9138141936
PG1PC1PC2-20180109031346.pkl,2.97434140517,13.1622386349,99.626225453,76.958333036,19.3362209042,50.1224631181,63.3450925812
PG1PC1PC2-20180109031806.pkl,3.10337791128,19.5467501084,95.9228211716,83.154099039,10.2422417212,58.9378141231,81.4704777054
PG1PC1PC2-20180109032303.pkl,3.19346566686,11.4004284268,1.76832251741,90.5196581398,26.3687660013,85.3123703029,22.1840812744
PG1PC1PC2-20180109032709.pkl,1.11298466724,9.07176733698,40.3138950997,1.03922997449,29.6065460853,60.9834361284,62.5275329569
PG1PC1PC2-20180109033124.pkl,0.506157897889,5.22704369979,94.2693485871,87.01821435,21.7594985549,71.681592224,27.8218941847
PG1PC1PC2-20180109033527.pkl,3.08270307469,7.9673091378,79.273391437,92.3480168763,18.9122688538,72.8326398452,40.8914958406
PG1PC1PC2-20180109034009.pkl,0.456821433292,2.41050165612,27.740911282,57.8261962962,26.3200737284,36.0379155751,28.5696462712
PG1PC1PC2-20180109034503.pkl,3.77370600358,12.2196857738,1.06787448849,91.9872306834,26.5532168965,95.843739546,67.2607052967
PG1PC1PC2-20180109034929.pkl,3.47785790583,4.62020351295,72.7375768171,55.0396849897,12.5222113466,14.0404714588,22.2566588386
PG1PC1PC2-20180109035414.pkl,0.339725959684,27.2479673561,23.1514195899,84.5143569806,23.0163660714,39.2262780524,76.7506963429
PG1PC1PC2-20180109035859.pkl,0.752414445017,9.04562687957,40.4192754611,84.5286565184,0.63323370367,28.1942065292,23.9297901712
PG1PC1PC2-20180109040251.pkl,0.389899293738,11.8483028597,64.5157973725,39.2394521005,10.4928897319,13.8354999591,55.9226226878
PG1PC1PC2-20180109040728.pkl,0.478702758394,27.9353672402,44.0358813791,81.5291237392,16.6400935359,26.0508214805,82.4153828271
PG1PC1PC2-20180109041145.pkl,1.14841378273,8.71835043287,90.4880413513,85.3708027309,20.8168699911,43.341421409,94.7545057149
PG1PC1PC2-20180109041605.pkl,1.62551727006,20.8623000787,81.0556126151,85.0373087211,6.21257215174,13.6351262721,20.1375779997
PG1PC1PC2-20180109042030.pkl,3.36005745704,0.87965182404,81.089788244,49.1689596158,26.6890274824,99.4314411842,13.3093781105
PG1PC1PC2-20180109042523.pkl,1.58199406765,4.25531586743,52.061727931,95.1844955446,29.4378429531,24.0863081406,3.85103581852
PG1PC1PC2-20180109042928.pkl,0.35543673212,18.502377757,91.2611830004,21.2062091971,24.2234986651,86.5342317031,52.603674267
PG1PC1PC2-20180109043406.pkl,3.59719858102,10.5081732807,74.4955112592,84.3401210098,11.3914488665,45.0442065206,69.3142943022
PG1PC1PC2-20180109043810.pkl,1.25201453111,11.1593187968,95.1797113781,87.8588037692,9.7359628013,45.7922746831,58.7481683967
PG1PC1PC2-20180109044236.pkl,0.924442037809,24.5602818919,78.8832908453,31.4731515259,1.74609667429,47.2168895031,26.6384497004
PG1PC1PC2-20180109044650.pkl,0.693071144665,27.720068124,87.6162312718,92.1688834844,7.84617619251,61.2142664643,66.3319237515
PG1PC1PC2-20180109045108.pkl,1.72145008566,6.09290055598,77.6894496606,79.5411750026,2.23473280294,37.6220329324,52.9302950569
PG1PC1PC2-20180109045553.pkl,0.772159926767,0.445200319074,88.7517371226,68.4806229735,29.528785848,8.26485399711,95.6427498013
PG1PC1PC2-20180109045947.pkl,0.795557624072,20.1141259204,43.8043442176,97.3037195734,22.2579720871,67.6713687438,45.0568494455
PG1PC1PC2-20180109050423.pkl,1.85301348332,20.3097510282,13.3029425833,70.7712449047,8.56614923091,55.6766289587,27.1087869372
PG1PC1PC2-20180109050858.pkl,0.694514409466,29.1189439227,74.2496998689,91.1064120499,2.17087881892,30.9602776226,25.9056911304
PG1PC1PC2-20180109051303.pkl,3.05217097171,7.47374597907,90.2596579821,86.2959142176,0.672139853485,91.1404599214,92.7857377215
PG1PC1PC2-20180109051745.pkl,1.12037939057,17.2724976441,22.9842303664,28.8975396182,19.9549684177,98.4664527744,94.6742219088
PG1PC1PC2-20180109052214.pkl,3.88113327119,0.303810154712,31.404128822,28.2870449017,1.31072083181,20.0109432995,93.4730163742
PG1PC1PC2-20180109052632.pkl,1.11260508244,23.9871250112,71.7951729928,55.5809800409,9.06652443963,71.2913405946,15.0466841947
PG1PC1PC2-20180109053105.pkl,3.63785929051,7.87288148118,60.4818568129,41.4234143956,14.4977011209,48.0708430811,94.9483386622
PG1PC1PC2-20180109053540.pkl,0.91508665674,8.64977552588,50.8099723841,93.3714309345,0.827323146511,63.1084644637,36.880334681
PG1PC1PC2-20180109054010.pkl,1.92005072761,20.2265029674,89.1250645242,68.7926218688,12.4565427561,89.6839177229,37.4015250829
PG1PC1PC2-20180109054501.pkl,1.15211170868,21.3620246819,19.6061341761,77.8242879925,13.0844099418,62.6965970824,37.2938230306
PG1PC1PC2-20180109054929.pkl,2.98632280224,26.7836941016,35.9601782604,92.5868747443,2.32871610201,68.8489773583,55.1122840961
PG1PC1PC2-20180109055400.pkl,0.102444372789,23.0606487792,14.0383675268,61.4283062215,26.1054434372,98.4853093746,71.8284239752
PG1PC1PC2-20180109055843.pkl,2.91722800119,20.8216934158,13.1649295479,51.4636098445,15.4354614874,35.6641370877,57.3856422731
PG1PC1PC2-20180109060331.pkl,3.23135618127,10.9584246804,24.3396566873,48.7798460294,26.8941605053,53.1282432221,15.2644533467
PG1PC1PC2-20180109060811.pkl,1.72089465188,17.419888213,55.8362771603,54.691307861,0.289112941673,53.3294379921,23.4076871673
PG1PC1PC2-20180109061257.pkl,0.999773809976,8.34701667362,31.5553631396,54.5371683941,19.898398231,67.9970108978,84.2284511678
PG1PC1PC2-20180109061732.pkl,3.54916574377,8.34484404403,2.62395497596,13.9620397464,2.628097683,2.24863356208,9.77430902321
PG1PC1PC2-20180109063022.pkl,0.129223072504,7.72075678553,78.0319626485,22.4044884175,10.7543882388,8.84657065609,77.153944065
