file,mu0,gamma0,eta0,kappa0
PC2-20171217001851.pkl,2.06891856512,11.5663631562,3.78156041873,90.0892782465
PC2-20171217004152.pkl,12.8209874031,3.59418327083,1.30118842298,25.8681893916
PC2-20171217012450.pkl,16.169876823,26.0611006962,2.20132063018,77.5334837867
PC2-20171217020648.pkl,17.2628837503,13.7489224455,5.4071140204,56.0125038809
PC2-20171217025005.pkl,12.7502322558,7.43999684462,2.3874773808,70.7686964212
PC2-20171217030128.pkl,2.49956856003,6.08858619817,0.792328948673,80.4076225654
PC2-20171217031411.pkl,5.52663561499,9.3526599674,1.86548030445,15.0892303791
PC2-20171217032027.pkl,4.0824471994,24.1846201816,3.92751898348,37.5743046172
PC2-20171217032333.pkl,5.69050769044,27.2007499713,9.27633311539,23.2176701195
PC2-20171217034608.pkl,11.6467402655,19.3922501445,3.16232217574,22.4418056343
PC2-20171217035301.pkl,10.3614871232,21.7610251178,6.04424816513,49.4388521366
PC2-20171217043437.pkl,14.6585240951,27.0770464091,7.91838079627,93.2866011479
PC2-20171217044640.pkl,6.26811874006,9.28788054336,4.07253976977,69.4415430071
PC2-20171217045602.pkl,11.7100103699,4.91782724049,6.70129181782,64.2705487333
PC2-20171217050357.pkl,1.37944261826,1.83266414257,2.75816219378,31.6198081697
PC2-20171217054714.pkl,15.5479475711,15.2540368051,3.2127905991,82.9185540589
PC2-20171217060909.pkl,2.83481387757,19.1607495788,0.69933652068,85.0483168839
PC2-20171217061513.pkl,2.94057022394,26.7261675985,3.29201666852,84.257747753
PC2-20171217062728.pkl,5.81626512682,17.7332567639,1.00478933277,74.9080425261
PC2-20171217063032.pkl,2.28191954513,6.53275985721,7.43412966708,31.0276444889
PC2-20171217071348.pkl,17.2566759446,12.1852811372,2.4310170477,63.1712334724
PC2-20171217072649.pkl,19.9973971063,1.55337970046,7.85668869253,29.297368588
PC2-20171217081026.pkl,19.2526274096,3.05476093995,3.31077079615,61.6441817856
PC2-20171217081328.pkl,1.08914458429,20.7027922411,4.62862280566,5.99086516819
PC2-20171217082204.pkl,13.4874898816,26.4766598386,5.57237219018,69.2546522812
PC2-20171217082749.pkl,3.17685961312,1.52716404708,9.36290510033,7.3880143924
PC2-20171217084110.pkl,13.6975241791,28.1928508465,3.50993040315,69.0378041937
PC2-20171217084712.pkl,3.53169125548,13.4915921234,2.37736499992,99.4341236644
PC2-20171217085937.pkl,12.6391606346,24.8367395327,8.44060444339,73.1829863279
PC2-20171217091123.pkl,4.45023233371,10.3356070805,1.51982326665,64.7563557105
PC2-20171217091531.pkl,6.38006715335,9.16809594162,6.90155983704,47.5894738549
