file,mu0,gamma0,beta0,eta0,lambda0
PG5-20171210222138.pkl,3.97917078038,2.88149655799,75.6019197366,86.5123758129,90.5290294625
PG5-20171210224311.pkl,3.3089529616,3.34262143567,89.1412397144,36.7425822912,58.9251029283
PG5-20171210225359.pkl,0.394650439297,4.57261222053,72.4436542667,28.5598477506,5.36081957466
PG5-20171210233605.pkl,1.10104452529,1.22530824385,73.4613519607,47.5415965929,59.2066683004
PG5-20171210234732.pkl,2.52400189711,2.81804935361,55.0826638693,13.5713296424,93.1336562839
PG5-20171211000953.pkl,0.361993749089,0.328563517338,28.3481985944,7.57742621859,30.4798670915
PG5-20171211003141.pkl,1.5033188464,0.376502831901,19.0080313675,91.4058432148,47.6305935786
PG5-20171211005331.pkl,0.0962770780855,1.09783942688,41.7984760723,99.5320352429,64.1541267164
PG5-20171211010435.pkl,2.10007542033,4.65937249871,79.8603786608,45.6227291687,20.5557860933
PG5-20171211011003.pkl,2.02767949868,4.08002631054,32.7465763438,72.7480901689,61.8575887345
PG5-20171211013212.pkl,2.93730200939,0.391958466025,93.6991310147,37.7188780383,2.22124704521
PG5-20171211015425.pkl,2.87658246461,2.23352602338,89.5823539757,23.2500956238,79.4639614749
PG5-20171211015556.pkl,0.271380790281,3.56331737506,7.18410472401,40.6474815964,65.1464832012
PG5-20171211023848.pkl,2.89964236407,0.274690674912,32.7597603172,3.97262611168,54.7640666198
PG5-20171211024430.pkl,0.377971344433,4.89465909098,50.0957823709,36.2432412877,13.5930317209
PG5-20171211025336.pkl,2.79471809757,3.05241114189,34.4324189011,60.230213047,79.4680017549
PG5-20171211030501.pkl,0.919382757441,3.53147041526,71.5124349379,63.0472643816,37.6197568734
PG5-20171211030808.pkl,2.75738206298,1.56784373477,8.32321942445,72.1487011023,21.1307978919
PG5-20171211035056.pkl,1.84298274294,1.27782030681,81.6892293008,67.4682389159,38.7388080278
PG5-20171211043318.pkl,3.11114002742,1.50900034822,98.9528509412,87.244853658,37.5154038704
PG5-20171211043753.pkl,0.0949064278105,3.47427668953,22.7216891323,64.0967007094,54.3218236951
PG5-20171211043921.pkl,1.26143233704,4.71167688302,10.1702242393,4.72450440452,11.9556560304
PG5-20171211050026.pkl,1.7541704233,3.14430871352,96.45356478,20.8468620844,3.93706574169
PG5-20171211052201.pkl,2.18204907278,0.524803077334,86.5238875112,72.5203587108,1.80170106844
PG5-20171211054413.pkl,0.624102317553,1.23862939681,59.4458223766,37.6974374215,11.5842586174
PG5-20171211055523.pkl,3.75486941449,3.1230841166,50.5373778807,11.1713226661,24.9146973464
PG5-20171211061706.pkl,2.14960126674,2.67902634269,79.837019251,62.4892355382,92.9942726714
PG5-20171211061836.pkl,3.49191833437,4.86884881378,7.89259793462,36.5807544211,95.561691856
PG5-20171211062410.pkl,2.84183286612,4.62270686829,36.902503933,32.6857104987,82.3725573803
PG5-20171211062941.pkl,3.14907385489,3.18944137483,18.5901393196,4.40923931642,71.7577493365
PG5-20171211064112.pkl,2.14992862695,0.75362340841,20.1906026883,25.2592303553,18.4680640862
PG5-20171211072409.pkl,3.50780397612,0.288694968142,33.9502799218,80.9776783125,66.3467950269
PG5-20171211072538.pkl,1.21221668867,4.94437288169,8.15265853336,34.318767326,47.6773383524
PG5-20171211073706.pkl,1.74157955199,2.00863331221,41.699126151,93.1375384095,36.9352912052
PG5-20171211074754.pkl,1.28542813733,3.50362737568,44.7429617932,64.6233866899,85.5934611297
PG5-20171211081008.pkl,0.0295463942102,1.89002088016,90.0745742088,91.1103123326,70.8313012664
PG5-20171211081549.pkl,1.74910725135,2.84161563671,17.9372280396,47.5359309675,50.828040089
PG5-20171211085649.pkl,2.95384972397,2.12780061964,99.5308811744,51.144984469,74.6617866361
PG5-20171211093946.pkl,0.701475479886,0.37603435338,78.4570788819,49.6743691234,48.2213322912
PG5-20171211094521.pkl,1.89089901509,4.21917531236,32.5864530749,87.3422513014,75.3517242911
PG5-20171211094811.pkl,2.01041063749,2.82437929003,10.8409914002,10.7990103843,81.9796072312
PG5-20171211103102.pkl,3.18951510276,0.551779978133,43.079075753,56.1283207225,90.0510603095
PG5-20171211103649.pkl,2.32446593527,4.46878858603,27.7770833205,64.8516727716,31.6458683801
PG5-20171211104809.pkl,0.870120638158,3.19792843211,70.7801437612,87.093616575,12.8578122573
PG5-20171211113057.pkl,3.640878309,0.59120183065,55.6257113374,24.9968426489,95.2873932755
PG5-20171211114202.pkl,2.97370965972,4.57786322883,75.2004071319,79.256772809,98.2110577724
PG5-20171211120353.pkl,3.812926431,2.21664125154,75.7505735431,21.9357741049,54.682542363
PG5-20171211120527.pkl,0.607467962382,3.67903308537,7.60215045291,80.6631371421,94.4598889322
PG5-20171211124821.pkl,2.51184972025,0.262713832797,35.124919845,72.835770516,90.0846455927
PG5-20171211125932.pkl,1.9423382029,4.40615013226,75.9622010499,71.8284272492,34.736616786
PG5-20171211131044.pkl,1.34535908395,1.49148065327,45.8291525236,32.6471049355,3.90841370005
PG5-20171211132127.pkl,0.14516390582,2.33730286709,37.2385491773,93.5896105319,12.4490279961
PG5-20171211132416.pkl,1.47102426636,3.83932187145,14.6431941899,36.2706395664,96.3265004495
PG5-20171211134640.pkl,2.87733849504,2.38741154121,99.5392766663,31.3137305301,85.4360401171
PG5-20171211134814.pkl,0.195337764281,3.67620064825,8.23431693582,58.9201455888,80.1723942424
PG5-20171211135341.pkl,0.0340905758172,3.34962759652,25.3005106068,59.1411856389,83.8067108859
PG5-20171211141546.pkl,2.57073605224,1.99555515001,85.276903266,73.1368444227,22.3940677202
PG5-20171211145847.pkl,1.34305642058,0.600322649409,72.4243685633,79.8454254003,75.5924547808
PG5-20171211154123.pkl,2.88953543393,0.262209002971,96.318257671,52.191204933,61.8260099091
PG5-20171211162341.pkl,3.87160819634,0.597918310538,39.699892076,87.7667645753,99.9476889008
PG5-20171211163451.pkl,1.93055744561,3.9615622017,73.1855884483,43.0124132217,5.30602405842
PG5-20171211165235.pkl,3.65420973812,0.971118951229,26.8301510668,68.2677213722,34.9109266269
PG5-20171211170329.pkl,1.38337197307,4.35911033151,78.5742046391,97.2280024417,3.34893067352
PG5-20171211172618.pkl,3.82064475549,1.81039338513,80.1381644968,52.9820696259,47.2867406686
PG5-20171211180908.pkl,2.03361097991,0.38548257611,68.6111311149,2.97773825288,8.9265553631
PG5-20171211182125.pkl,3.30938437271,0.556321891067,15.9937648913,34.6521193178,92.1714265048
PG5-20171211183239.pkl,2.49409359802,3.49950687041,61.9548497752,81.8381876325,57.4691165314
PG5-20171211191539.pkl,1.72683588612,0.755064807117,72.2134078374,68.8955402188,34.4125144994
PG5-20171211191828.pkl,1.40950672421,4.5445495579,17.9021693362,30.7144574253,31.6981320393
PG5-20171211193527.pkl,3.20084811709,2.1837452388,47.8045268371,36.2656834847,98.3302958036
PG5-20171211193902.pkl,1.77834205751,4.51790697784,24.0933939222,1.34079482581,61.1452504667
PG5-20171211194154.pkl,1.62454020873,4.4353826489,22.2852058783,80.2456620043,80.6515355004
PG5-20171211202651.pkl,3.94680679354,0.322112172589,69.5482753722,89.1482735981,78.7276019769
PG5-20171211203302.pkl,2.29678657703,2.94123630646,15.0292608713,85.3043905946,96.7779952956
PG5-20171211203603.pkl,0.720242916298,3.89120069186,13.5577225939,87.3056325715,51.4457505139
PG5-20171211203739.pkl,2.98350642032,4.75651201166,8.54961677748,61.8980040534,98.0479209851
PG5-20171211204321.pkl,0.716410741551,2.95072953917,18.1490172686,32.8928156342,19.180051207
PG5-20171211205104.pkl,1.64792130482,0.868069258118,1.60189271846,38.7002576352,54.5866949601
PG5-20171211210259.pkl,0.45757062557,4.18149018737,87.0999024148,95.9405743781,52.984141706
PG5-20171211210601.pkl,1.1253441346,3.46126173588,13.7652386286,14.9506590856,22.2719550555
PG5-20171211210654.pkl,3.41855985796,3.59108193055,2.20193687483,32.440606476,35.1970176234
PG5-20171211214836.pkl,2.85035977551,2.0225973655,98.948132523,26.8137247194,78.6891632174
PG5-20171211220045.pkl,2.86495599946,4.40505676895,93.1297757036,90.4737183077,9.57503108769
PG5-20171211222400.pkl,2.88323526646,3.04459362006,91.9887995538,22.5263832546,58.4172638321
PG5-20171211222700.pkl,2.18289929644,3.39407365067,12.8166296289,74.092523641,12.1769302078
PG5-20171211223013.pkl,0.0807621074644,1.59131631722,12.3342709597,67.5556465837,3.69000579877
PG5-20171211224220.pkl,2.17175718612,3.91582132438,85.9498468794,80.7698324408,16.3017825917
PG5-20171211224530.pkl,2.82194628194,4.46273473526,21.9326616506,2.35118916835,35.2297529499
PG5-20171211225710.pkl,2.49849957504,3.87614055499,55.9116578032,47.2733673784,80.0612487137
PG5-20171211230315.pkl,2.14755929709,3.90238421638,41.4819863782,12.9716924084,90.1902431118
PG5-20171211232628.pkl,0.809295101915,2.79484266998,85.1979574268,14.3627198517,24.2139684628
PG5-20171211234948.pkl,1.88842304094,1.15955243116,40.0232633282,8.35917374045,48.4805319463
PG5-20171211235532.pkl,3.7912885822,4.56627003089,34.127556777,39.4138981984,3.28998976085
PG5-20171211235835.pkl,3.64364122535,2.03347756808,6.49212373029,5.33011607003,73.6666101668
PG5-20171212001054.pkl,3.55626413735,0.986987644938,29.6432631211,86.2867396984,7.97702323466
PG5-20171212003414.pkl,0.841369493954,1.19439537451,46.1250449813,31.074220325,40.5563131328
PG5-20171212005705.pkl,1.92690069945,1.93335528279,51.7958109268,39.2514407097,32.0160300416
PG5-20171212012115.pkl,2.05689168328,2.27517789549,96.0078241949,14.9134879402,80.5813523168
PG5-20171212014318.pkl,3.78500241497,1.12965398482,28.0118651921,45.6207448059,92.9547179463
PG5-20171212014459.pkl,0.0661308797796,1.58125194443,2.69920166594,27.7757609012,73.5812292734
PG5-20171212023018.pkl,0.0801588233721,1.21214213369,97.680370971,38.3758134171,46.8563793437
PG5-20171212024037.pkl,1.57535054898,2.15755154818,24.9409783627,7.21455803467,93.9500176518
PG5-20171212030350.pkl,2.05087539879,2.35655135257,79.6469392465,45.5285828363,43.6184996458
PG5-20171212030952.pkl,3.16008150795,2.65649333029,21.4272195642,16.3220443633,66.7444734831
PG5-20171212032014.pkl,0.638394069104,4.91629809224,59.9057143032,74.3567786257,27.2871118605
PG5-20171212033228.pkl,3.54048770086,0.574807978895,31.7124586997,18.7623725092,5.07143398233
PG5-20171212033539.pkl,1.02823617974,2.70783635755,11.8159313561,86.3553357935,68.9351663279
PG5-20171212042044.pkl,2.43135305469,1.35744861392,93.819441731,55.72869217,38.242145427
PG5-20171212043238.pkl,0.803046688336,4.40685855882,90.9237991931,23.1823933261,3.11847482578
PG5-20171212044422.pkl,3.29714957369,2.63144102225,38.7430274085,53.8267703331,26.7681173279
PG5-20171212050754.pkl,3.72157267381,1.0556945438,43.3050299112,40.8356138131,30.226484896
PG5-20171212053134.pkl,3.74663149878,1.27499777296,49.4771359862,87.6441788012,53.4514387119
PG5-20171212053737.pkl,3.92167526949,0.877771895342,20.3429306327,2.73238960026,4.8397669074
PG5-20171212054320.pkl,1.97060792963,4.53294653378,28.8792118035,6.29053286793,10.7492116507
PG5-20171212060730.pkl,3.54685657849,0.773314270428,48.0144981886,79.6282994884,18.3730141179
PG5-20171212065319.pkl,0.870052509772,0.519240702594,68.6847934083,25.3239525774,51.0151691331
PG5-20171212072113.pkl,2.69838766211,0.415288236101,28.7795090738,5.73434761755,57.4826945883
PG5-20171212074329.pkl,2.84743246562,2.58831532595,90.9822313591,14.0270577901,35.4331505182
PG5-20171212075434.pkl,1.80653597927,4.61981194894,78.6922724937,92.1680292058,33.8840635073
PG5-20171212080538.pkl,0.132896491455,4.13047642487,79.5304457855,96.2171231107,6.74528697148
PG5-20171212081107.pkl,2.73891000824,4.5077786849,33.7278005345,37.8795950653,4.93243824819
PG5-20171212085352.pkl,1.49007938315,1.35497023485,91.5627296143,83.4605298791,57.2559646483
PG5-20171212085707.pkl,2.79578164471,0.542334060529,2.20013530437,19.2322013899,60.9218288983
PG5-20171212090211.pkl,0.894103970749,1.81653985135,5.52942541098,49.2798031941,46.3917206961
